,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az
0,-0.18,-0.05,-0.15,43.63,-69.19,9.06,7.86,1.44,6.02,-0.02,-0.29,0.09,0.95,914415,318,W,-2.8037101814024536,-2.2901777056768298,-2.021367927274536,-0.6693510112296901,0.40080045397798436,-0.4028238499480391
1,-0.18,-0.05,-0.15,43.63,-69.19,9.06,7.2,1.75,6.71,-0.02,-0.29,0.09,0.95,914454,357,W,3.040233748652177,-2.35292080074645,-1.9814808831907973,-0.7658253978976607,0.6082705123361143,-0.4796209244578116
2,-0.68,-0.15,-0.55,43.63,-69.19,9.06,7.2,1.75,6.71,-0.02,-0.29,0.09,0.95,914496,399,W,2.6035830543058904,-2.190959775520201,-1.8695858929725333,-0.8459820792356038,0.8832237573505467,-0.5492907960514264
3,-0.19,-0.17,-0.67,43.63,-69.19,9.06,7.2,1.75,6.71,-0.02,-0.29,0.09,0.95,914537,440,W,2.185073865043719,-1.9644619337052058,-1.8486789490399849,-0.8901729245864102,1.0826764520860124,-0.6058003569024024
4,-0.19,-0.17,-0.67,43.63,-69.19,9.06,5.86,1.78,4.71,-0.02,-0.29,0.09,0.95,914577,480,W,1.7869191922037284,-1.8593593092080014,-1.9613773887374417,-0.8311968849435016,1.1266167598259529,-0.6500796680199298
5,-0.19,-0.17,-0.67,43.63,-69.19,9.06,5.06,2.2,5.17,-0.02,-0.29,0.09,0.95,914618,521,W,1.404054089859665,-1.8873717469772817,-2.1635197365227543,-0.49959834376505585,1.0500010878406665,-0.6928282246933841
6,-0.19,-0.17,-0.67,43.63,-69.19,9.06,5.48,3.77,5.52,-0.02,-0.29,0.09,0.95,914658,561,W,1.0301046175103268,-2.03123746817466,-2.4184966160543495,0.03195059130270078,0.9017470780557502,-0.7502967022700112
7,-0.19,-0.17,-0.67,48.13,-67.94,9.88,5.48,3.77,5.52,-0.02,-0.29,0.09,0.95,914697,600,W,0.6610031766198228,-2.255536430822222,-2.702966375457261,0.23067066626477134,0.713252202201158,-0.8311149570052591
8,0.98,-0.67,-2.81,48.13,-67.94,9.88,5.48,3.77,5.52,-0.02,-0.29,0.09,0.95,914737,640,W,0.29799988638748115,-2.5294530328125986,-3.0006014052922545,0.17406957901859624,0.504537122407692,-0.9307290108557477
9,0.98,-0.67,-2.81,48.13,-67.94,9.88,3.91,6.42,3.34,-0.02,-0.29,0.09,0.95,914778,681,W,-0.053845552364836895,-2.8304568863570445,2.983665551665181,0.015322107043157913,0.28990781362966345,-1.0341039218750376
10,0.98,-0.67,-2.81,48.13,-67.94,9.88,9.08,9.64,3.83,-0.02,-0.29,0.09,0.95,914818,721,W,-0.3888146910802795,3.139322285144901,2.692315380323704,-0.18155825886970942,0.08121593921190043,-1.1197524415698539
11,0.98,-0.67,-2.81,48.13,-67.94,9.88,8.62,9.94,3.37,-0.02,-0.29,0.09,0.95,914855,758,W,-0.6962952668486382,2.82336654815651,2.4141866880091594,-0.38603913379245675,-0.110080319318988,-1.1628875702522192
12,0.67,-1.62,-2.48,48.13,-67.94,9.88,8.62,9.94,3.37,-0.02,-0.29,0.09,0.95,914895,798,W,-0.9647578592005013,2.5130565666322418,2.151116830461678,-0.5790119400215061,-0.2716740314601275,-1.1396338747151167
13,0.67,-1.62,-2.48,48.13,-67.94,9.88,7.09,9.79,2.34,-0.02,-0.29,0.09,0.95,914935,838,W,-1.1924623811480242,2.223986440192064,1.901484930786597,-0.743119403077926,-0.39025297202871184,-1.0376772686738367
