,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az
0,0.6,-0.47,3.58,7.5,-9.5,-14.13,-12.68,4.35,3.25,0.38,0.47,0.12,0.79,624970,2340,W,-0.6767896733518807,-2.94523650460135,-0.7187132193463125,2.469506215883388,-1.2730170305335309,-1.6935121547188094
1,0.6,-0.47,3.58,7.5,-9.5,-14.13,-9.73,3.74,1.8,0.38,0.47,0.12,0.79,625007,2377,W,-1.1613274359210854,3.0907744231548895,-1.1413182314792787,2.29543590556493,-2.192751898890044,1.327954579698762
2,0.6,-0.47,3.58,7.5,-9.5,-14.13,-9.81,-0.86,-0.69,0.38,0.47,0.12,0.79,625047,2417,W,-1.7169660608070432,2.804056942317129,-1.551254357969712,2.1425517839134423,1.8924032893888585,0.8968516104332671
3,-0.03,-0.92,-0.26,7.5,-9.5,-14.13,-9.81,-0.86,-0.69,0.38,0.47,0.12,0.79,625087,2457,W,-2.461630538272405,2.4936733624588316,-1.9410498570210348,2.055893173250548,1.3760516361450075,0.5135217499124628
4,-0.03,-0.92,-0.26,7.5,-9.5,-14.13,-6.47,3.13,4.98,0.38,0.47,0.12,0.79,625128,2498,W,2.536699674139301,2.1693042556319755,-2.301635321416562,2.1439146542686585,1.0235377794697875,0.13683157750993127
5,-0.03,-0.92,-0.26,7.5,-9.5,-14.13,-6.02,3.51,3.87,0.38,0.47,0.12,0.79,625166,2536,W,1.201873603902118,1.8400061986971579,-2.6225080177341766,2.581710275523846,0.7147122366589005,-0.2354996676332325
6,0.04,-0.18,-1.43,7.5,-9.5,-14.13,-6.02,3.51,3.87,0.38,0.47,0.12,0.79,625207,2577,W,0.424313416418537,1.5133685475894698,-2.8910360750330053,3.041477011887083,0.43248591471760217,-0.6016130073462285
7,0.43,-0.12,-1.58,7.5,-9.5,-14.13,-6.02,3.51,3.87,0.38,0.47,0.12,0.79,625246,2616,W,-0.15696295593606455,1.2049941443059982,-3.097252472487594,-3.108382410856687,0.17353698380390445,-0.9581543317570995
8,0.43,-0.12,-1.58,7.5,-9.5,-14.13,-7.89,6.54,2.68,0.38,0.47,0.12,0.79,625286,2656,W,-0.6648248487481416,0.9545148519287219,3.0456698671878546,-3.1289089309730302,-0.06289973884987032,-1.302331511726579
9,0.43,-0.12,-1.58,7.5,-9.5,-14.13,-8.24,6.61,2.33,0.38,0.47,0.12,0.79,625326,2696,W,-1.1417894122862313,0.8295944329293331,2.955166720840259,3.0866802703530354,-0.2794201243915552,-1.63466870077348
10,0.43,-0.12,-1.58,7.5,-9.5,-14.13,-8.12,6.3,1.22,0.38,0.47,0.12,0.79,625363,2733,W,-1.6058670851487873,0.8494619530776841,2.8713017469444835,3.015525210548841,-0.48584079235247574,-1.994217817383477
11,0.58,0.5,-1.55,7.5,-9.5,-14.13,-8.12,6.3,1.22,0.38,0.47,0.12,0.79,625403,2773,W,-2.0616748710159785,0.8195837435134323,2.770453324186843,2.9520546598913175,-0.6725784989862917,1.019146431994658
12,-0.51,0.11,-1.75,7.5,-9.5,-14.13,-8.12,6.3,1.22,0.38,0.47,0.12,0.79,625443,2813,W,-2.510082853692929,0.5974066375502534,2.645321055438438,2.881976403336046,-0.767645209003984,0.7215768114053606
13,-0.51,0.11,-1.75,7.5,-9.5,-14.13,-9.46,5.0,2.56,0.38,0.47,0.12,0.79,625482,2852,W,-2.9517523955182248,0.235444895717401,2.4963007083233584,2.794325883585929,-0.6362147490224553,0.4732930911426048
14,-0.51,0.11,-1.75,7.5,-9.5,-14.13,-9.0,4.47,2.22,0.38,0.47,0.12,0.79,625523,2893,W,2.8964641890247558,-0.19578769513634495,2.346665093076864,2.6962195888751825,-0.38510763509195517,0.2528829351122484
15,-0.51,0.11,-1.75,7.5,-9.5,-14.13,-9.04,4.31,2.6,0.38,0.47,0.12,0.79,625561,2931,W,2.469310612628441,-0.6653415693888101,2.2194282746084806,2.6093602869097854,-0.3725729755238568,0.06869764418195971
