,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
52,0,-0.62,0.92,10.25,1.94,-2.69,-11.88,2.67,3.45,0.62,-0.04,-0.78,0.09,752671,2026,W
53,0.54,-1.4,2.99,10.25,1.94,-2.69,-11.88,2.67,3.45,0.62,-0.04,-0.78,0.09,752712,2067,W
54,0.54,-1.4,2.99,10.25,1.94,-2.69,-10.96,-1.97,-0.12,0.62,-0.04,-0.78,0.09,752751,2106,W
55,0.54,-1.4,2.99,10.25,1.94,-2.69,-6.17,-0.97,0.46,0.62,-0.04,-0.78,0.09,752793,2148,W
56,0.54,-1.4,2.99,10.25,1.94,-2.69,-6.7,2.09,2.68,0.62,-0.04,-0.78,0.09,752832,2187,W
57,0.54,-1.4,2.99,2.25,-16.31,-8.69,-6.7,2.09,2.68,0.62,-0.04,-0.78,0.09,752870,2225,W
58,0.17,-0.27,-1.62,2.25,-16.31,-8.69,-6.7,2.09,2.68,0.62,-0.04,-0.78,0.09,752911,2266,W
59,0.17,-0.27,-1.62,2.25,-16.31,-8.69,-7.47,4.77,2.79,0.62,-0.04,-0.78,0.09,752951,2306,W
60,0.17,-0.27,-1.62,2.25,-16.31,-8.69,-8.24,5.46,2.64,0.62,-0.04,-0.78,0.09,752992,2347,W
61,0.17,-0.27,-1.62,2.25,-16.31,-8.69,-9.16,5.23,2.03,0.62,-0.04,-0.78,0.09,753031,2386,W
62,0.61,-0.18,-1.69,2.25,-16.31,-8.69,-9.16,5.23,2.03,0.62,-0.04,-0.78,0.09,753071,2426,W
63,0.61,-0.18,-1.69,2.25,-16.31,-8.69,-8.77,5.5,1.07,0.62,-0.04,-0.78,0.09,753112,2467,W
64,0.05,0.08,-1.6,2.25,-16.31,-8.69,-8.77,5.5,1.07,0.62,-0.04,-0.78,0.09,753152,2507,W
65,0.05,0.08,-1.6,2.25,-16.31,-8.69,-8.7,4.24,1.61,0.62,-0.04,-0.78,0.09,753192,2547,W
66,0.05,0.08,-1.6,2.25,-16.31,-8.69,-9.31,4.16,2.49,0.62,-0.04,-0.78,0.09,753230,2585,W
67,-0.66,0.59,-1.44,2.25,-16.31,-8.69,-9.31,4.16,2.49,0.62,-0.04,-0.78,0.09,753270,2625,W
68,-0.92,0.4,-1.3,2.25,-16.31,-8.69,-9.31,4.16,2.49,0.62,-0.04,-0.78,0.09,753310,2665,W
69,-0.92,0.4,-1.3,2.25,-16.31,-8.69,-9,4.28,3.41,0.62,-0.04,-0.78,0.09,753351,2706,W
70,-0.92,0.4,-1.3,2.25,-16.31,-8.69,-8.58,5.08,3.41,0.62,-0.04,-0.78,0.09,753392,2747,W
71,-0.92,0.4,-1.3,2.25,-16.31,-8.69,-6.13,10.18,2.22,0.62,-0.04,-0.78,0.09,753432,2787,W
72,-0.92,0.4,-1.3,9.69,-21,-6.94,-6.13,10.18,2.22,0.62,-0.04,-0.78,0.09,753472,2827,W
73,-0.92,0.4,-1.3,9.69,-21,-6.94,-11.64,2.82,5.78,0.62,-0.04,-0.78,0.09,753514,2869,W
74,-0.24,-0.01,0.1,9.69,-21,-6.94,-11.64,2.82,5.78,0.62,-0.04,-0.78,0.09,753555,2910,W
75,-0.24,-0.01,0.1,9.69,-21,-6.94,-9.39,1.4,2.56,0.62,-0.04,-0.78,0.09,753596,2951,W
