,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az
0,0.0,0.0,0.01,5.31,-7.75,6.5,-7.97,5.35,2.03,-0.27,0.65,0.57,0.42,4562257,312,T,1.3556077374118594,1.039255675047855,0.42245127598773063,2.7886271090361565,-0.3536896653779976,-0.35042216053822484
1,0.0,0.0,0.01,5.31,-7.75,6.5,-7.93,5.31,2.07,-0.27,0.65,0.57,0.42,4562297,352,T,1.0678396029458452,0.998325312447007,0.17591170785329235,2.7881881042467853,-0.3521377158391756,-0.3510697739172777
2,0.0,0.0,0.01,5.31,-7.75,6.5,-7.97,5.31,2.03,-0.27,0.65,0.57,0.42,4562335,390,T,0.818657292255184,1.1119610675397271,-0.04836613511428019,2.7870858177741384,-0.3489654182784771,-0.35162268786629913
3,0.01,0.0,0.01,5.31,-7.75,6.5,-7.97,5.31,2.03,-0.27,0.65,0.57,0.42,4562376,431,T,0.6398576205050412,1.2241115444548563,-0.2413706930741864,2.785429187059502,-0.345425837529579,-0.352673817026862
4,0.01,0.01,0.01,5.31,-7.75,6.5,-7.97,5.31,2.03,-0.27,0.65,0.57,0.42,4562415,470,T,0.5732951785287357,1.1989342208439544,-0.3745453218332787,2.7838664671875013,-0.3427022280211142,-0.355941256851738
5,0.01,0.01,0.01,5.31,-7.75,6.5,-7.97,5.35,2.03,-0.27,0.65,0.57,0.42,4562454,509,W,0.46166252891180926,1.0447864282249615,-0.3410700298820413,2.7832899021514677,-0.34137886519585053,-0.36213021310745996
6,0.01,0.01,0.01,5.31,-7.75,6.5,-7.93,5.35,2.07,-0.27,0.65,0.57,0.42,4562492,547,W,0.1719721166204203,0.8124255516317929,0.09422259248189283,2.7839429359991446,-0.341293299992875,-0.36952649195095727
7,0.01,0.01,0.01,5.31,-7.75,6.5,-7.93,5.35,2.03,-0.27,0.65,0.57,0.42,4562529,584,W,-0.2612788085097608,0.5529004814408528,0.61582824941559,2.7851346308844818,-0.34144027207919175,-0.37803120518589256
8,0.01,0.03,0.01,5.31,-7.75,6.5,-7.93,5.35,2.03,-0.27,0.65,0.57,0.42,4562569,624,W,-0.8187338260378507,0.41074077615610843,0.8043668480085642,2.7857806949932744,-0.34051591396627623,-0.3916660305473717
9,0.02,0.04,0.01,5.31,-7.75,6.5,-7.93,5.35,2.03,-0.27,0.65,0.57,0.42,4562608,663,W,-1.5219848150981892,1.207054699746695,0.7272099382563957,2.7850703989162353,-0.3379664131975704,-0.41402882786263534
