,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az
0,-0.37,-0.38,1.12,8.13,-15.13,0.0,-7.24,1.59,2.18,0.61,0.22,-0.6,0.47,625680,1318,W,0.5664637030733698,1.2836710670135,-2.0000042022872724,2.4789807301984244,-2.490602371836206,0.61706489931275
1,0.88,0.23,-1.0,8.13,-15.13,0.0,-7.24,1.59,2.18,0.61,0.22,-0.6,0.47,625720,1358,W,0.018046250136882824,0.9487689797634287,-2.327013423528326,2.7685531553760905,1.5374662267079848,0.29803259212285277
2,0.88,0.23,-1.0,8.13,-15.13,0.0,-8.01,1.82,1.72,0.61,0.22,-0.6,0.47,625759,1397,W,-0.5271853625796115,0.5866163964034725,-2.6541480023626827,2.949861397223042,1.116299133047596,0.08264158342964197
3,0.88,0.23,-1.0,8.13,-15.13,0.0,-8.08,2.71,1.49,0.61,0.22,-0.6,0.47,625797,1435,W,-1.080584935667077,0.18372972524343598,-3.0008358971035545,3.018718649128111,0.7875345917524746,0.06287725846353001
4,0.46,0.56,-1.69,8.13,-15.13,0.0,-8.08,2.71,1.49,0.61,0.22,-0.6,0.47,625837,1475,W,-1.665034573610516,-0.25673692561230554,2.908089988194382,3.036107490715711,0.4769469850985779,0.32879595741472495
5,-0.1,0.62,-1.75,8.13,-15.13,0.0,-8.08,2.71,1.49,0.61,0.22,-0.6,0.47,625876,1514,W,-2.30972608836142,-0.7175809844365099,2.5081674241355407,3.02122571069605,0.17321379373336132,0.5136621850028634
6,-0.1,0.62,-1.75,8.13,-15.13,0.0,-8.54,5.73,1.45,0.61,0.22,-0.6,0.47,625915,1553,W,-3.0351926175222084,-1.1801620009934495,2.0844024136056944,2.963696782828277,-0.12293288792762393,0.42226978312036983
7,-0.1,0.62,-1.75,8.13,-15.13,0.0,-9.0,6.04,2.79,0.61,0.22,-0.6,0.47,625955,1593,W,2.4562062260963926,-1.633532160127194,1.6381527947548686,2.862421302090702,-0.40053714681722685,0.19544570516993387
8,-0.1,0.62,-1.75,8.13,-15.13,0.0,-9.58,6.23,2.56,0.61,0.22,-0.6,0.47,625994,1632,W,1.6890585434685697,-2.072634778137948,1.169433624189618,2.7345349369902268,-0.6394809846412399,-0.07421571130027248
9,-0.15,0.18,-1.11,8.13,-15.13,0.0,-9.58,6.23,2.56,0.61,0.22,-0.6,0.47,626033,1671,W,1.0356552901401388,-2.496914395168058,0.6749835113399623,2.6065856323270986,-0.8042288278173125,-0.35154619502245016
10,0.3,-1.26,1.91,8.13,-15.13,0.0,-9.58,6.23,2.56,0.61,0.22,-0.6,0.47,626072,1710,W,0.4992702053034995,-2.9043838663655692,0.15163205545950065,2.5182914132415477,-0.8344712174474436,-0.6252762000060178
11,0.3,-1.26,1.91,8.13,-15.13,0.0,-10.61,-2.04,6.28,0.61,0.22,-0.6,0.47,626111,1749,W,0.03834815691089097,2.9950562772573934,-0.40148117902814906,2.530581548077078,-0.7025515930378738,-0.8849571080180069
12,0.3,-1.26,1.91,8.13,-15.13,0.0,-6.78,5.35,1.49,0.61,0.22,-0.6,0.47,626150,1788,W,-0.3835625020392134,2.644157995555383,-0.9839096178352668,2.7028560013773903,-0.5639981146058418,-1.1134683943586878
13,0.84,-0.07,0.89,8.13,-15.13,0.0,-6.78,5.35,1.49,0.61,0.22,-0.6,0.47,626189,1827,W,-0.7878159222443314,2.337996420086434,-1.589456086307461,2.9452072717354074,-0.5654277911980756,-1.2793614493896164
14,0.17,-0.68,-0.33,8.13,-15.13,0.0,-6.78,5.35,1.49,0.61,0.22,-0.6,0.47,626229,1867,W,-1.1777823660715903,2.08552314749937,-2.207534320838574,3.0625430438946695,-0.6611402071775407,-1.320178758833487
15,0.17,-0.68,-0.33,8.13,-15.13,0.0,-8.96,2.97,1.3,0.61,0.22,-0.6,0.47,626268,1906,W,-1.546672239055207,1.875792718079673,-2.834911181283693,3.0442834687376115,-0.7682125822520013,-1.1296705157414777
16,0.17,-0.68,-0.33,8.13,-15.13,0.0,-9.84,2.78,2.83,0.61,0.22,-0.6,0.47,626309,1947,W,-1.8869994684766482,1.6712658584941749,2.794365403844341,2.960147739603324,-0.8088507928941887,-0.7665993159283827
17,0.17,-0.68,-0.33,8.13,-15.13,0.0,-9.46,3.05,1.03,0.61,0.22,-0.6,0.47,626347,1985,W,-2.1929968703938933,1.4320265851091993,2.066857035417901,2.861662603304225,-0.6912351049290034,-0.5524749958275987
18,-0.01,-0.02,0.16,8.13,-15.13,0.0,-9.46,3.05,1.03,0.61,0.22,-0.6,0.47,626386,2024,W,-2.469487037923231,1.1401726417980291,1.2555515871823673,2.7819359580191616,-0.4360752950095599,-0.4606526661040406
19,-0.01,-0.02,0.16,8.13,-15.13,0.0,-9.12,3.09,1.49,0.61,0.22,-0.6,0.47,626426,2064,W,-2.7256444002614164,0.7970332569177531,0.5206095376294505,2.7414022739572714,-0.2868616651946226,-0.34484689707417965
20,-0.01,-0.02,0.16,8.13,-15.13,0.0,-9.2,3.09,1.57,0.61,0.22,-0.6,0.47,626467,2105,W,-2.9854102959719153,0.4048538460861521,-0.048620086838233316,2.739925001317037,-0.2673721671349412,-0.2244925514035797
