,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az
0,-0.1,0.62,-1.75,8.13,-15.13,0.0,-8.54,5.73,1.45,0.61,0.22,-0.6,0.47,625915,1553,W,-0.011759588546769714,1.7774323136751515,-1.492712322868716,0.3624719508501974,3.045875452658149,-2.388955614852909
1,-0.1,0.62,-1.75,8.13,-15.13,0.0,-9.0,6.04,2.79,0.61,0.22,-0.6,0.47,625955,1593,W,-0.5983086302434554,1.354215552162819,-1.9423880523065093,-0.4777992912512848,2.5268089507362417,-2.800498207571353
2,-0.1,0.62,-1.75,8.13,-15.13,0.0,-9.58,6.23,2.56,0.61,0.22,-0.6,0.47,625994,1632,W,-1.1839906576467967,0.9297342202218862,-2.4012748413221523,-1.4575437085601153,2.005485795457738,3.0322672490354767
3,-0.15,0.18,-1.11,8.13,-15.13,0.0,-9.58,6.23,2.56,0.61,0.22,-0.6,0.47,626033,1671,W,-1.7665926322512686,0.5041975616158855,-2.870474570891633,-2.1772018100933006,1.4982359625153323,2.5605907546233975
4,0.3,-1.26,1.91,8.13,-15.13,0.0,-9.58,6.23,2.56,0.61,0.22,-0.6,0.47,626072,1710,W,-2.3430595236965583,0.07860747668756672,2.9333306394605017,-2.686648830984539,1.023754647359406,2.082137575225544
5,0.3,-1.26,1.91,8.13,-15.13,0.0,-10.61,-2.04,6.28,0.61,0.22,-0.6,0.47,626111,1749,W,-2.9090070766144427,-0.3450702544098327,2.445654063870544,-3.103757430307368,0.5975515481456213,1.607147552316328
6,0.3,-1.26,1.91,8.13,-15.13,0.0,-6.78,5.35,1.49,0.61,0.22,-0.6,0.47,626150,1788,W,2.8216753129169843,-0.7647695063131571,1.9509867128553577,2.8009976348234544,0.23075635964015798,1.1418196507833167
7,0.84,-0.07,0.89,8.13,-15.13,0.0,-6.78,5.35,1.49,0.61,0.22,-0.6,0.47,626189,1827,W,2.2829972304131974,-1.1785662865611317,1.4494746896396482,2.4396131501572733,-0.060902105583647934,0.6919918062574015
8,0.17,-0.68,-0.33,8.13,-15.13,0.0,-6.78,5.35,1.49,0.61,0.22,-0.6,0.47,626229,1867,W,1.7586510614357325,-1.5846407128239992,0.9403220479646852,2.086293302732129,-0.25364016882642865,0.2653741767389269
9,0.17,-0.68,-0.33,8.13,-15.13,0.0,-8.96,2.97,1.3,0.61,0.22,-0.6,0.47,626268,1906,W,1.2507568724874032,-1.9814878438110424,0.4203496212296032,1.734304867023543,-0.33515270375495115,-0.13449879017676147
10,0.17,-0.68,-0.33,8.13,-15.13,0.0,-9.84,2.78,2.83,0.61,0.22,-0.6,0.47,626309,1947,W,0.7618022822088782,-2.367532300826731,-0.11419197050417804,1.3651669455367368,-0.3535779142969014,-0.5085952373211781
11,0.17,-0.68,-0.33,8.13,-15.13,0.0,-9.46,3.05,1.03,0.61,0.22,-0.6,0.47,626347,1985,W,0.28964296087207864,-2.7413108706831193,-0.6655049538829931,0.9022109516951163,-0.40651549698277056,-0.855591819285848
12,-0.01,-0.02,0.16,8.13,-15.13,0.0,-9.46,3.05,1.03,0.61,0.22,-0.6,0.47,626386,2024,W,-0.17500627425368057,-3.101872762427179,-1.254945109850232,-0.12841803512493,-0.5366502935592485,-1.170909142699607
13,-0.01,-0.02,0.16,8.13,-15.13,0.0,-9.12,3.09,1.49,0.61,0.22,-0.6,0.47,626426,2064,W,-0.6474114858434341,2.836895228433701,-1.96268208412303,-1.6591583726745465,-0.7214108832370035,-1.4366039598438827
