,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
26,-0.02,0,-0.05,7.31,-14.94,-4.81,-9.39,3.09,1.03,-0.13,0.63,0.4,0.64,506785,1027,W
27,0.06,-0.14,0.13,7.31,-14.94,-4.81,-9.39,3.09,1.03,-0.13,0.63,0.4,0.64,506826,1068,W
28,0.06,-0.14,0.13,7.31,-14.94,-4.81,-9.39,3.16,1.49,-0.13,0.63,0.4,0.64,506866,1108,W
29,0.32,-0.58,1.8,7.31,-14.94,-4.81,-9.39,3.16,1.49,-0.13,0.63,0.4,0.64,506906,1148,W
30,0.32,-0.58,1.8,7.31,-14.94,-4.81,-11.11,3.39,2.37,-0.13,0.63,0.4,0.64,506946,1188,W
31,0.32,-0.58,1.8,7.31,-14.94,-4.81,-11.72,6.04,2.98,-0.13,0.63,0.4,0.64,506985,1227,W
32,0.73,-0.46,3.65,7.31,-14.94,-4.81,-11.72,6.04,2.98,-0.13,0.63,0.4,0.64,507026,1268,W
33,0.26,-1.74,-0.47,7.31,-14.94,-4.81,-1.99,4.39,0.3,-0.13,0.63,0.4,0.64,507106,1348,W
34,0.26,-1.74,-0.47,7.31,-14.94,-4.81,-6.21,1.59,2.3,-0.13,0.63,0.4,0.64,507148,1390,W
35,0.26,-1.74,-0.47,7.31,-14.94,-4.81,-5.48,-1.16,-0.23,-0.13,0.63,0.4,0.64,507186,1428,W
36,0.22,0.33,-1.2,7.31,-14.94,-4.81,-5.48,-1.16,-0.23,-0.13,0.63,0.4,0.64,507227,1469,W
37,0.43,0.71,-1.88,7.31,-14.94,-4.81,-5.48,-1.16,-0.23,-0.13,0.63,0.4,0.64,507268,1510,W
38,0.43,0.71,-1.88,7.31,-14.94,-4.81,-8.89,3.7,1.99,-0.13,0.63,0.4,0.64,507309,1551,W
39,0.43,0.71,-1.88,7.31,-14.94,-4.81,-10.61,6.3,0.15,-0.13,0.63,0.4,0.64,507348,1590,W
40,0.43,0.71,-1.88,7.31,-14.94,-4.81,-10.11,7.99,1.26,-0.13,0.63,0.4,0.64,507386,1628,W
41,0.01,0.41,-1.88,7.31,-14.94,-4.81,-10.11,7.99,1.26,-0.13,0.63,0.4,0.64,507426,1668,W
42,-0.63,-0.09,-0.65,7.31,-14.94,-4.81,-10.11,7.99,1.26,-0.13,0.63,0.4,0.64,507466,1708,W
43,0.33,0.63,0.09,7.31,-14.94,-4.81,-10.11,7.99,1.26,-0.13,0.63,0.4,0.64,507507,1749,W
44,0.33,0.63,0.09,7.31,-14.94,-4.81,-5.98,4.47,1.76,-0.13,0.63,0.4,0.64,507547,1789,W
45,0.33,0.63,0.09,7.31,-14.94,-4.81,-11.68,3.01,-1.34,-0.13,0.63,0.4,0.64,507585,1827,W
46,-0.41,-0.57,0.06,7.31,-14.94,-4.81,-11.68,3.01,-1.34,-0.13,0.63,0.4,0.64,507626,1868,W
47,0.52,-0.33,0.24,7.31,-14.94,-4.81,-11.68,3.01,-1.34,-0.13,0.63,0.4,0.64,507667,1909,W
48,0.52,-0.33,0.24,7.31,-14.94,-4.81,-9.5,2.93,2.14,-0.13,0.63,0.4,0.64,507707,1949,W
49,0.52,-0.33,0.24,7.31,-14.94,-4.81,-8.89,2.82,1.41,-0.13,0.63,0.4,0.64,507747,1989,W
50,0.52,-0.33,0.24,7.31,-14.94,-4.81,-9.16,2.9,1.26,-0.13,0.63,0.4,0.64,507785,2027,W
51,0.05,-0.02,0.18,7.31,-14.94,-4.81,-9.16,2.9,1.26,-0.13,0.63,0.4,0.64,507825,2067,W
52,0.05,-0.02,0.18,7.31,-14.94,-4.81,-9.31,2.97,1.18,-0.13,0.63,0.4,0.64,507866,2108,W
53,0.02,-0.03,0.1,7.31,-14.94,-4.81,-9.31,2.97,1.18,-0.13,0.63,0.4,0.64,507906,2148,W
54,0.02,-0.03,0.1,7.31,-14.94,-4.81,-9.08,3.01,1.41,-0.13,0.63,0.4,0.64,507945,2187,W
55,0.02,-0.03,0.1,7.31,-14.94,-4.81,-9.12,3.05,1.41,-0.13,0.63,0.4,0.64,507983,2225,W
56,-0.02,-0.02,0.14,7.31,-14.94,-4.81,-9.12,3.05,1.41,-0.13,0.63,0.4,0.64,508024,2266,W
57,-0.11,-0.02,0.19,7.31,-14.94,-4.81,-9.12,3.05,1.41,-0.13,0.63,0.4,0.64,508064,2306,W
58,-0.11,-0.02,0.19,7.31,-14.94,-4.81,-9.16,3.24,1.38,-0.13,0.63,0.4,0.64,508105,2347,W
59,-0.11,-0.02,0.19,7.31,-14.94,-4.81,-9.2,3.28,1.34,-0.13,0.63,0.4,0.64,508146,2388,W
60,-0.11,-0.02,0.19,7.31,-14.94,-4.81,-8.85,3.36,1.64,-0.13,0.63,0.4,0.64,508184,2426,W
61,0.02,0,0.2,7.31,-14.94,-4.81,-8.85,3.36,1.64,-0.13,0.63,0.4,0.64,508225,2467,W
62,-0.08,0.06,0.38,7.31,-14.94,-4.81,-8.85,3.36,1.64,-0.13,0.63,0.4,0.64,508265,2507,W
63,-0.08,0.06,0.38,7.31,-14.94,-4.81,-9.08,3.63,1.41,-0.13,0.63,0.4,0.64,508306,2548,W
64,-0.08,0.06,0.38,7.31,-14.94,-4.81,-9.43,3.78,1.49,-0.13,0.63,0.4,0.64,508345,2587,W
65,-0.08,0.06,0.38,7.31,-14.94,-4.81,-10.96,4.24,1.57,-0.13,0.63,0.4,0.64,508384,2626,W
