,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direc1ion,Sensor 1ime,1ime,Label
0,0.31,-0.21,-0.35,43.5,-65.81,8.25,8.32,-0.02,6.02,-0.02,-0.29,0.09,0.95,914097,0,0
1,0.36,0.09,-0.27,43.5,-65.81,8.25,8.32,-0.02,6.02,-0.02,-0.29,0.09,0.95,914138,41,0
2,0.36,0.09,-0.27,43.5,-65.81,8.25,7.82,0.48,5.55,-0.02,-0.29,0.09,0.95,914178,81,0
3,0.36,0.09,-0.27,43.5,-65.81,8.25,8.01,0.67,5.79,-0.02,-0.29,0.09,0.95,914217,120,0
4,0.36,0.09,-0.27,43.5,-65.81,8.25,7.55,0.82,6.25,-0.02,-0.29,0.09,0.95,914256,159,0
5,0.36,0.09,-0.27,43.63,-69.19,9.06,7.55,0.82,6.25,-0.02,-0.29,0.09,0.95,914295,198,0
6,0.36,0.09,-0.27,43.63,-69.19,9.06,8.97,1.29,5.9,-0.02,-0.29,0.09,0.95,914335,238,0
7,-0.18,-0.05,-0.15,43.63,-69.19,9.06,8.97,1.29,5.9,-0.02,-0.29,0.09,0.95,914375,278,0
8,-0.18,-0.05,-0.15,43.63,-69.19,9.06,7.86,1.44,6.02,-0.02,-0.29,0.09,0.95,914415,318,0
9,-0.18,-0.05,-0.15,43.63,-69.19,9.06,7.2,1.75,6.71,-0.02,-0.29,0.09,0.95,914454,357,0
10,-0.68,-0.15,-0.55,43.63,-69.19,9.06,7.2,1.75,6.71,-0.02,-0.29,0.09,0.95,914496,399,0
11,-0.19,-0.17,-0.67,43.63,-69.19,9.06,7.2,1.75,6.71,-0.02,-0.29,0.09,0.95,914537,440,0
12,-0.19,-0.17,-0.67,43.63,-69.19,9.06,5.86,1.78,4.71,-0.02,-0.29,0.09,0.95,914577,480,0
13,-0.19,-0.17,-0.67,43.63,-69.19,9.06,5.06,2.2,5.17,-0.02,-0.29,0.09,0.95,914618,521,0
14,-0.19,-0.17,-0.67,43.63,-69.19,9.06,5.48,3.77,5.52,-0.02,-0.29,0.09,0.95,914658,561,0
15,-0.19,-0.17,-0.67,48.13,-67.94,9.88,5.48,3.77,5.52,-0.02,-0.29,0.09,0.95,914697,600,0
16,0.98,-0.67,-2.81,48.13,-67.94,9.88,5.48,3.77,5.52,-0.02,-0.29,0.09,0.95,914737,640,0
17,0.98,-0.67,-2.81,48.13,-67.94,9.88,3.91,6.42,3.34,-0.02,-0.29,0.09,0.95,914778,681,0
18,0.98,-0.67,-2.81,48.13,-67.94,9.88,9.08,9.64,3.83,-0.02,-0.29,0.09,0.95,914818,721,0
19,0.98,-0.67,-2.81,48.13,-67.94,9.88,8.62,9.94,3.37,-0.02,-0.29,0.09,0.95,914855,758,0
20,0.67,-1.62,-2.48,48.13,-67.94,9.88,8.62,9.94,3.37,-0.02,-0.29,0.09,0.95,914895,798,0
21,0.67,-1.62,-2.48,48.13,-67.94,9.88,7.09,9.79,2.34,-0.02,-0.29,0.09,0.95,914935,838,0
22,0.52,-0.44,-1.37,48.13,-67.94,9.88,7.09,9.79,2.34,-0.02,-0.29,0.09,0.95,914975,878,0
23,0.52,-0.44,-1.37,48.13,-67.94,9.88,5.75,9.21,2.15,-0.02,-0.29,0.09,0.95,915015,918,0
24,0.52,-0.44,-1.37,48.13,-67.94,9.88,5.48,9.21,2.22,-0.02,-0.29,0.09,0.95,915054,957,0
25,0.12,-0.73,-0.15,48.13,-67.94,9.88,5.48,9.21,2.22,-0.02,-0.29,0.09,0.95,915095,998,0
26,0,-0.45,0.16,48.13,-67.94,9.88,5.48,9.21,2.22,-0.02,-0.29,0.09,0.95,915135,1038,0
27,0,-0.45,0.16,48.13,-67.94,9.88,4.52,8.75,2.15,-0.02,-0.29,0.09,0.95,915175,1078,0
28,0,-0.45,0.16,48.13,-67.94,9.88,4.1,8.79,2.07,-0.02,-0.29,0.09,0.95,915216,1119,0
29,0,-0.45,0.16,48.13,-67.94,9.88,3.99,9.02,1.73,-0.02,-0.29,0.09,0.95,915255,1158,0
30,-0.07,0.1,0.24,48.13,-67.94,9.88,3.99,9.02,1.73,-0.02,-0.29,0.09,0.95,915295,1198,0
31,-0.07,0.1,0.24,48.13,-67.94,9.88,3.8,9.02,1.5,-0.02,-0.29,0.09,0.95,915336,1239,0
32,-0.03,0.18,0.22,48.13,-67.94,9.88,3.8,9.02,1.5,-0.02,-0.29,0.09,0.95,915375,1278,0
33,-0.03,0.18,0.22,48.13,-67.94,9.88,3.53,8.98,1.57,-0.02,-0.29,0.09,0.95,915415,1318,0
34,-0.03,0.18,0.22,48.13,-67.94,9.88,3.53,9.06,1.57,-0.02,-0.29,0.09,0.95,915452,1355,0
35,0.04,0.12,0.13,48.13,-67.94,9.88,3.53,9.06,1.57,-0.02,-0.29,0.09,0.95,915493,1396,0
36,0.07,0.01,0.07,48.13,-67.94,9.88,3.53,9.06,1.57,-0.02,-0.29,0.09,0.95,915533,1436,0
37,0.07,0.01,0.07,48.13,-67.94,9.88,3.49,9.1,1.77,-0.02,-0.29,0.09,0.95,915572,1475,0
38,0.07,0.01,0.07,48.13,-67.94,9.88,3.45,9.06,1.84,-0.02,-0.29,0.09,0.95,915611,1514,0
39,0.07,0.01,0.07,48.13,-67.94,9.88,3.83,8.95,1.73,-0.02,-0.29,0.09,0.95,915649,1552,0
40,-0.07,-0.09,0.04,48.13,-67.94,9.88,3.83,8.95,1.73,-0.02,-0.29,0.09,0.95,915688,1591,0
41,-0.09,-0.16,-0.01,48.13,-67.94,9.88,3.83,8.95,1.73,-0.02,-0.29,0.09,0.95,915727,1630,0
42,-0.09,-0.16,-0.01,48.13,-67.94,9.88,4.14,8.79,1.54,-0.02,-0.29,0.09,0.95,915767,1670,0
43,-0.09,-0.16,-0.01,48.13,-67.94,9.88,4.25,8.79,1.5,-0.02,-0.29,0.09,0.95,915806,1709,0
44,-0.04,-0.17,-0.02,48.13,-67.94,9.88,4.25,8.79,1.5,-0.02,-0.29,0.09,0.95,915847,1750,0
45,-0.03,-0.19,-0.02,48.13,-67.94,9.88,4.25,8.79,1.5,-0.02,-0.29,0.09,0.95,915887,1790,0
46,-0.03,-0.19,-0.02,48.13,-67.94,9.88,4.25,8.83,1.96,-0.02,-0.29,0.09,0.95,915927,1830,0
47,-0.03,-0.19,-0.02,48.13,-67.94,9.88,4.33,8.83,1.8,-0.02,-0.29,0.09,0.95,915968,1871,0
48,-0.03,-0.19,-0.02,48.13,-67.94,9.88,4.41,8.75,1.73,-0.02,-0.29,0.09,0.95,916007,1910,0
49,-0.03,-0.19,-0.02,51.38,-62.81,10.63,4.41,8.75,1.73,-0.02,-0.29,0.09,0.95,916046,1949,0
50,-0.03,-0.19,-0.02,51.38,-62.81,10.63,4.29,8.71,1.65,-0.02,-0.29,0.09,0.95,916088,1991,0
51,0.03,0.11,-0.04,51.38,-62.81,10.63,4.29,8.71,1.65,-0.02,-0.29,0.09,0.95,916129,2032,0
52,0.03,0.11,-0.04,51.38,-62.81,10.63,3.99,8.52,1.57,-0.02,-0.29,0.09,0.95,916169,2072,0
53,0.03,0.11,-0.04,51.38,-62.81,10.63,3.91,8.41,1.3,-0.02,-0.29,0.09,0.95,916210,2113,0
54,0.03,0.11,-0.04,51.38,-62.81,10.63,4.06,8.91,1.11,-0.02,-0.29,0.09,0.95,916249,2152,0
55,0.13,-0.22,0.16,51.38,-62.81,10.63,4.06,8.91,1.11,-0.02,-0.29,0.09,0.95,916289,2192,0
56,0.13,-0.22,0.16,51.38,-62.81,10.63,4.29,9.37,1.46,-0.02,-0.29,0.09,0.95,916328,2231,0
57,0.13,-0.22,0.16,51.38,-62.81,10.63,4.71,9.25,1.92,-0.02,-0.29,0.09,0.95,916368,2271,0
58,0.13,-0.22,0.16,51.38,-62.81,10.63,5.25,8.95,2.34,-0.02,-0.29,0.09,0.95,916407,2310,0
59,0.13,-0.22,0.16,52.06,-63.25,11,5.25,8.95,2.34,-0.02,-0.29,0.09,0.95,916446,2349,0
60,0.27,0.63,-0.21,52.06,-63.25,11,5.25,8.95,2.34,-0.02,-0.29,0.09,0.95,916486,2389,0
61,0.27,0.63,-0.21,52.06,-63.25,11,3.99,9.33,0.84,-0.02,-0.29,0.09,0.95,916527,2430,0
62,0.27,0.63,-0.21,52.06,-63.25,11,3.49,9.14,0.46,-0.02,-0.29,0.09,0.95,916567,2470,0
63,0.27,0.63,-0.21,52.06,-63.25,11,3.49,9.33,0.46,-0.02,-0.29,0.09,0.95,916604,2507,0
64,-0.04,0.28,-0.45,52.06,-63.25,11,3.49,9.33,0.46,-0.02,-0.29,0.09,0.95,916644,2547,0
65,-0.04,0.28,-0.45,52.06,-63.25,11,3.57,9.6,0.69,-0.02,-0.29,0.09,0.95,916685,2588,0
66,0.01,0.17,-0.49,52.06,-63.25,11,3.57,9.6,0.69,-0.02,-0.29,0.09,0.95,916726,2629,0
67,0.01,0.17,-0.49,52.06,-63.25,11,3.18,9.48,0.8,-0.02,-0.29,0.09,0.95,916765,2668,0
68,0.01,0.17,-0.49,52.06,-63.25,11,3.14,9.33,0.92,-0.02,-0.29,0.09,0.95,916804,2707,0
69,-0.18,-0.31,-0.09,52.06,-63.25,11,3.14,9.33,0.92,-0.02,-0.29,0.09,0.95,916844,2747,0
70,-0.23,-0.71,0.19,52.06,-63.25,11,3.14,9.33,0.92,-0.02,-0.29,0.09,0.95,916886,2789,0
71,-0.23,-0.71,0.19,52.06,-63.25,11,2.61,8.6,0.84,-0.02,-0.29,0.09,0.95,916926,2829,0
72,-0.23,-0.71,0.19,52.06,-63.25,11,2.72,8.91,0.69,-0.02,-0.29,0.09,0.95,916967,2870,0
73,-0.23,-0.71,0.19,52.06,-63.25,11,2.99,9.6,1.11,-0.02,-0.29,0.09,0.95,917007,2910,0
74,-0.23,-0.71,0.19,52.13,-64,12.25,2.99,9.6,1.11,-0.02,-0.29,0.09,0.95,917046,2949,0
75,-0.23,-0.71,0.19,52.13,-64,12.25,2.88,9.64,2.38,-0.02,-0.29,0.09,0.95,917086,2989,0
76,-0.23,-0.71,0.19,52.13,-64,12.25,2.8,9.41,2.68,-0.02,-0.29,0.09,0.95,917127,3030,0
77,-0.23,-0.71,0.19,52.13,-64,12.25,4.18,9.02,2.18,-0.02,-0.29,0.09,0.95,917167,3070,0
78,-0.23,-0.71,0.19,52.13,-64,12.25,4.06,8.71,1.88,-0.02,-0.29,0.09,0.95,917207,3110,0
79,-0.23,-0.71,0.19,52.13,-63.94,10.19,4.06,8.71,1.88,-0.02,-0.29,0.09,0.95,917246,3149,0
80,-0.31,-0.14,0.1,52.13,-63.94,10.19,4.06,8.71,1.88,-0.02,-0.29,0.09,0.95,917286,3189,0
81,-0.31,-0.14,0.1,52.13,-63.94,10.19,4.33,9.1,1.88,-0.02,-0.29,0.09,0.95,917326,3229,0
82,-0.31,-0.14,0.1,52.13,-63.94,10.19,4.75,9.45,1.99,-0.02,-0.29,0.09,0.95,917366,3269,0
83,-0.31,-0.14,0.1,52.13,-63.94,10.19,4.48,9.45,2.3,-0.02,-0.29,0.09,0.95,917406,3309,0
84,-0.31,-0.14,0.1,52.75,-63.31,9.81,4.48,9.45,2.3,-0.02,-0.29,0.09,0.95,917446,3349,0
85,-0.24,-0.22,0.36,52.75,-63.31,9.81,4.48,9.45,2.3,-0.02,-0.29,0.09,0.95,917486,3389,0
86,-0.24,-0.22,0.36,52.75,-63.31,9.81,4.91,6.8,2.57,-0.02,-0.29,0.09,0.95,917526,3429,0
87,-0.24,-0.22,0.36,52.75,-63.31,9.81,5.02,7.22,2.57,-0.02,-0.29,0.09,0.95,917566,3469,0
88,-0.24,-0.22,0.36,52.75,-63.31,9.81,5.33,7.49,2.72,-0.02,-0.29,0.09,0.95,917604,3507,0
89,-0.15,-0.19,0.11,52.75,-63.31,9.81,5.33,7.49,2.72,-0.02,-0.29,0.09,0.95,917644,3547,0
90,-0.15,-0.19,0.11,52.75,-63.31,9.81,5.75,7.26,3.03,-0.02,-0.29,0.09,0.95,917685,3588,0
91,-0.18,-0.33,0.31,52.75,-63.31,9.81,5.75,7.26,3.03,-0.02,-0.29,0.09,0.95,917725,3628,0
92,-0.18,-0.33,0.31,52.75,-63.31,9.81,7.13,7.26,3.68,-0.02,-0.29,0.09,0.95,917764,3667,0
93,-0.18,-0.33,0.31,52.75,-63.31,9.81,7.51,6.38,4.29,-0.02,-0.29,0.09,0.95,917803,3706,0
94,-0.23,-0.15,0.92,52.75,-63.31,9.81,7.51,6.38,4.29,-0.02,-0.29,0.09,0.95,917843,3746,0
95,-0.41,0.24,1.2,52.75,-63.31,9.81,7.51,6.38,4.29,-0.02,-0.29,0.09,0.95,917883,3786,0
96,-0.41,0.24,1.2,52.75,-63.31,9.81,10.5,12.09,3.79,-0.02,-0.29,0.09,0.95,917922,3825,0
97,-0.41,0.24,1.2,52.75,-63.31,9.81,9.35,9.75,3.18,-0.02,-0.29,0.09,0.95,917963,3866,0
98,-0.41,0.24,1.2,52.75,-63.31,9.81,8.51,8.03,2.91,-0.02,-0.29,0.09,0.95,918002,3905,0
99,-0.69,0.63,1.95,52.75,-63.31,9.81,8.51,8.03,2.91,-0.02,-0.29,0.09,0.95,918042,3945,0
100,-0.69,0.63,1.95,52.75,-63.31,9.81,5.48,6.15,0.5,-0.02,-0.29,0.09,0.95,918082,3985,0
101,-0.69,0.63,1.95,52.75,-63.31,9.81,5.44,6.95,0.46,-0.02,-0.29,0.09,0.95,918123,4026,0
102,-0.69,0.63,1.95,52.75,-63.31,9.81,4.37,6.42,0.31,-0.02,-0.29,0.09,0.95,918162,4065,0
103,-0.69,0.63,1.95,52.75,-63.31,9.81,4.37,5.38,0.61,-0.02,-0.29,0.09,0.95,918201,4104,0
104,0.01,-0.11,-0.04,52.75,-63.31,9.81,4.37,5.38,0.61,-0.02,-0.29,0.09,0.95,918241,4144,0
105,0.01,-0.11,-0.04,52.75,-63.31,9.81,4.6,4.77,1.65,-0.02,-0.29,0.09,0.95,918282,4185,0
106,0.47,-0.16,-0.89,52.75,-63.31,9.81,4.6,4.77,1.65,-0.02,-0.29,0.09,0.95,918321,4224,0
107,0.47,-0.16,-0.89,52.75,-63.31,9.81,5.33,5.54,2.38,-0.02,-0.29,0.09,0.95,918362,4265,0
108,0.47,-0.16,-0.89,52.75,-63.31,9.81,5.48,6.15,2.8,-0.02,-0.29,0.09,0.95,918401,4304,0
109,0.54,-0.14,-1.82,52.75,-63.31,9.81,5.48,6.15,2.8,-0.02,-0.29,0.09,0.95,918440,4343,0
110,0.56,-0.38,-2.12,52.75,-63.31,9.81,5.48,6.15,2.8,-0.02,-0.29,0.09,0.95,918481,4384,0
111,0.56,-0.38,-2.12,52.75,-63.31,9.81,6.29,9.56,1.96,-0.02,-0.29,0.09,0.95,918521,4424,0
112,0.56,-0.38,-2.12,52.75,-63.31,9.81,6.48,9.94,1.42,-0.02,-0.29,0.09,0.95,918563,4466,0
113,0.56,-0.38,-2.12,52.75,-63.31,9.81,6.36,11.78,1.38,-0.02,-0.29,0.09,0.95,918601,4504,0
114,0.43,-0.94,-2.24,52.75,-63.31,9.81,6.36,11.78,1.38,-0.02,-0.29,0.09,0.95,918643,4546,0
115,0.43,-0.94,-2.24,52.75,-63.31,9.81,6.09,11.55,1.38,-0.02,-0.29,0.09,0.95,918685,4588,0
116,0.48,-0.99,-1.66,52.75,-63.31,9.81,6.09,11.55,1.38,-0.02,-0.29,0.09,0.95,918725,4628,0
117,0.48,-0.99,-1.66,52.75,-63.31,9.81,4.33,9.98,1.42,-0.02,-0.29,0.09,0.95,918765,4668,0
118,0.48,-0.99,-1.66,52.75,-63.31,9.81,3.61,10.13,1.46,-0.02,-0.29,0.09,0.95,918804,4707,0
119,0.06,-1.46,-1.21,52.75,-63.31,9.81,3.61,10.13,1.46,-0.02,-0.29,0.09,0.95,918844,4747,0
120,0.01,-1.11,-0.99,52.75,-63.31,9.81,3.61,10.13,1.46,-0.02,-0.29,0.09,0.95,918885,4788,1
121,0.01,-1.11,-0.99,52.75,-63.31,9.81,4.22,8.03,1.34,-0.02,-0.29,0.09,0.95,918925,4828,1
122,0.01,-1.11,-0.99,52.75,-63.31,9.81,4.6,7.72,1.73,-0.02,-0.29,0.09,0.95,918966,4869,1
123,0.01,-1.11,-0.99,52.75,-63.31,9.81,4.79,7.26,1.96,-0.02,-0.29,0.09,0.95,919005,4908,1
124,0.01,-1.11,-0.99,64.5,-67.31,4.13,4.79,7.26,1.96,-0.02,-0.29,0.09,0.95,919044,4947,1
125,0.05,-0.18,0.05,64.5,-67.31,4.13,4.79,7.26,1.96,-0.02,-0.29,0.09,0.95,919084,4987,1
126,0.05,-0.18,0.05,64.5,-67.31,4.13,5.41,7.53,2.38,-0.02,-0.29,0.09,0.95,919124,5027,1
127,0.05,-0.18,0.05,64.5,-67.31,4.13,5.79,8.79,2.03,-0.02,-0.29,0.09,0.95,919163,5066,1
128,0.05,-0.18,0.05,64.5,-67.31,4.13,6.21,9.29,1.88,-0.02,-0.29,0.09,0.95,919201,5104,1
129,0.04,0.39,1.33,64.5,-67.31,4.13,6.21,9.29,1.88,-0.02,-0.29,0.09,0.95,919241,5144,1
130,0.04,0.39,1.33,64.5,-67.31,4.13,7.78,12.51,1.46,-0.02,-0.29,0.09,0.95,919282,5185,1
131,-0.36,0.7,2.48,64.5,-67.31,4.13,7.78,12.51,1.46,-0.02,-0.29,0.09,0.95,919321,5224,1
132,-0.36,0.7,2.48,64.5,-67.31,4.13,7.09,13.31,-0.11,-0.02,-0.29,0.09,0.95,919362,5265,1
133,-0.36,0.7,2.48,64.5,-67.31,4.13,6.48,13.5,0.16,-0.02,-0.29,0.09,0.95,919401,5304,1
134,-0.45,0.89,2.92,64.5,-67.31,4.13,6.48,13.5,0.16,-0.02,-0.29,0.09,0.95,919442,5345,1
135,-0.5,0.9,2.95,64.5,-67.31,4.13,6.48,13.5,0.16,-0.02,-0.29,0.09,0.95,919482,5385,1
136,-0.5,0.9,2.95,64.5,-67.31,4.13,5.29,10.59,-0.07,-0.02,-0.29,0.09,0.95,919523,5426,1
137,-0.5,0.9,2.95,64.5,-67.31,4.13,4.79,9.83,0.08,-0.02,-0.29,0.09,0.95,919564,5467,1
138,-0.5,0.9,2.95,64.5,-67.31,4.13,4.64,7.34,0.5,-0.02,-0.29,0.09,0.95,919602,5505,1
139,-0.48,0.45,1.74,64.5,-67.31,4.13,4.64,7.34,0.5,-0.02,-0.29,0.09,0.95,919642,5545,1
140,-0.48,0.45,1.74,64.5,-67.31,4.13,4.18,5.73,0.96,-0.02,-0.29,0.09,0.95,919683,5586,1
141,-0.23,0.13,0.55,64.5,-67.31,4.13,4.18,5.73,0.96,-0.02,-0.29,0.09,0.95,919723,5626,1
142,-0.23,0.13,0.55,64.5,-67.31,4.13,3.83,4.92,1.65,-0.02,-0.29,0.09,0.95,919762,5665,1
143,-0.23,0.13,0.55,64.5,-67.31,4.13,3.49,4.73,1.8,-0.02,-0.29,0.09,0.95,919800,5703,1
144,0.14,-0.47,-0.96,64.5,-67.31,4.13,3.49,4.73,1.8,-0.02,-0.29,0.09,0.95,919841,5744,1
145,0.34,-0.71,-1.81,64.5,-67.31,4.13,3.49,4.73,1.8,-0.02,-0.29,0.09,0.95,919882,5785,1
146,0.34,-0.71,-1.81,64.5,-67.31,4.13,4.56,7.53,2.18,-0.02,-0.29,0.09,0.95,919921,5824,1
147,0.34,-0.71,-1.81,64.5,-67.31,4.13,5.18,9.56,1.99,-0.02,-0.29,0.09,0.95,919961,5864,1
148,0.34,-0.71,-1.81,64.5,-67.31,4.13,4.91,10.86,2.26,-0.02,-0.29,0.09,0.95,920000,5903,1
149,0.63,-0.83,-3.13,64.5,-67.31,4.13,4.91,10.86,2.26,-0.02,-0.29,0.09,0.95,920041,5944,1
150,0.62,-0.93,-3.01,64.5,-67.31,4.13,4.91,10.86,2.26,-0.02,-0.29,0.09,0.95,920082,5985,1
151,0.62,-0.93,-3.01,64.5,-67.31,4.13,5.06,11.66,1.54,-0.02,-0.29,0.09,0.95,920123,6026,1
152,0.62,-0.93,-3.01,64.5,-67.31,4.13,5.29,12.2,0.61,-0.02,-0.29,0.09,0.95,920163,6066,1
153,0.62,-0.93,-3.01,64.5,-67.31,4.13,5.71,12.01,1.11,-0.02,-0.29,0.09,0.95,920202,6105,1
154,0.69,-0.05,-2.46,64.5,-67.31,4.13,5.71,12.01,1.11,-0.02,-0.29,0.09,0.95,920243,6146,1
155,0.69,-0.05,-2.46,64.5,-67.31,4.13,4.83,10.29,1.38,-0.02,-0.29,0.09,0.95,920284,6187,1
156,0.43,-0.64,-1.76,64.5,-67.31,4.13,4.83,10.29,1.38,-0.02,-0.29,0.09,0.95,920324,6227,1
157,0.43,-0.64,-1.76,64.5,-67.31,4.13,6.05,9.33,1.84,-0.02,-0.29,0.09,0.95,920365,6268,1
158,0.43,-0.64,-1.76,64.5,-67.31,4.13,6.09,8.87,2.03,-0.02,-0.29,0.09,0.95,920403,6306,1
159,0.17,-0.26,-0.5,64.5,-67.31,4.13,6.09,8.87,2.03,-0.02,-0.29,0.09,0.95,920443,6346,1
160,0,0.23,0.08,64.5,-67.31,4.13,6.09,8.87,2.03,-0.02,-0.29,0.09,0.95,920482,6385,1
161,0,0.23,0.08,64.5,-67.31,4.13,6.25,11.02,0.77,-0.02,-0.29,0.09,0.95,920522,6425,1
162,0,0.23,0.08,64.5,-67.31,4.13,5.29,10.44,0.8,-0.02,-0.29,0.09,0.95,920562,6465,1
163,0,0.23,0.08,64.5,-67.31,4.13,6.25,11.47,0.23,-0.02,-0.29,0.09,0.95,920600,6503,1
164,-0.59,1.28,2.5,64.5,-67.31,4.13,6.25,11.47,0.23,-0.02,-0.29,0.09,0.95,920640,6543,1
165,-0.59,1.28,2.5,64.5,-67.31,4.13,4.71,12.09,-0.04,-0.02,-0.29,0.09,0.95,920681,6584,1
166,-0.59,1.28,2.5,64.5,-67.31,4.13,4.91,13.46,0,-0.02,-0.29,0.09,0.95,920722,6625,1
167,-0.59,1.28,2.5,64.5,-67.31,4.13,4.98,14.35,-0.57,-0.02,-0.29,0.09,0.95,920763,6666,1
168,-0.59,1.28,2.5,64.5,-67.31,4.13,4.79,14.04,-0.3,-0.02,-0.29,0.09,0.95,920802,6705,1
169,-0.96,0.02,3.37,64.5,-67.31,4.13,4.79,14.04,-0.3,-0.02,-0.29,0.09,0.95,920844,6747,1
170,-0.81,0.21,3.17,64.5,-67.31,4.13,4.79,14.04,-0.3,-0.02,-0.29,0.09,0.95,920884,6787,1
171,-0.81,0.21,3.17,64.5,-67.31,4.13,5.41,9.9,0.84,-0.02,-0.29,0.09,0.95,920925,6828,1
172,-0.81,0.21,3.17,64.5,-67.31,4.13,4.95,8.75,1.11,-0.02,-0.29,0.09,0.95,920965,6868,1
173,-0.81,0.21,3.17,64.5,-67.31,4.13,5.14,7.53,1.42,-0.02,-0.29,0.09,0.95,921003,6906,1
174,-0.61,-0.06,1.61,64.5,-67.31,4.13,5.14,7.53,1.42,-0.02,-0.29,0.09,0.95,921042,6945,1
175,-0.35,-0.1,0.85,64.5,-67.31,4.13,5.14,7.53,1.42,-0.02,-0.29,0.09,0.95,921082,6985,0
176,-0.35,-0.1,0.85,64.5,-67.31,4.13,4.33,3.43,2.41,-0.02,-0.29,0.09,0.95,921123,7026,0
177,-0.35,-0.1,0.85,64.5,-67.31,4.13,4.1,5.12,1.84,-0.02,-0.29,0.09,0.95,921163,7066,0
178,-0.35,-0.1,0.85,64.5,-67.31,4.13,3.64,5.61,1.92,-0.02,-0.29,0.09,0.95,921202,7105,0
179,0.32,-0.34,-1.12,64.5,-67.31,4.13,3.64,5.61,1.92,-0.02,-0.29,0.09,0.95,921242,7145,0
180,0.32,-0.34,-1.12,64.5,-67.31,4.13,3.83,5.15,1.92,-0.02,-0.29,0.09,0.95,921283,7186,0
181,0.7,-0.3,-2.41,64.5,-67.31,4.13,3.83,5.15,1.92,-0.02,-0.29,0.09,0.95,921323,7226,0
182,0.7,-0.3,-2.41,64.5,-67.31,4.13,4.22,7.95,1.8,-0.02,-0.29,0.09,0.95,921364,7267,0
183,0.7,-0.3,-2.41,64.5,-67.31,4.13,4.83,9.41,1.96,-0.02,-0.29,0.09,0.95,921403,7306,0
184,0.63,-0.88,-3.38,64.5,-67.31,4.13,4.83,9.41,1.96,-0.02,-0.29,0.09,0.95,921443,7346,0
185,0.57,-1.27,-3.46,64.5,-67.31,4.13,4.83,9.41,1.96,-0.02,-0.29,0.09,0.95,921482,7385,0
186,0.57,-1.27,-3.46,64.5,-67.31,4.13,6.9,12.28,1.5,-0.02,-0.29,0.09,0.95,921522,7425,0
187,0.57,-1.27,-3.46,64.5,-67.31,4.13,6.02,12.97,0.27,-0.02,-0.29,0.09,0.95,921602,7505,0
188,0.89,-0.56,-2.48,64.5,-67.31,4.13,6.02,12.97,0.27,-0.02,-0.29,0.09,0.95,921643,7546,0
189,0.89,-0.56,-2.48,64.5,-67.31,4.13,8.47,13.73,1.23,-0.02,-0.29,0.09,0.95,921683,7586,0
190,0.63,0.73,-1.26,64.5,-67.31,4.13,8.47,13.73,1.23,-0.02,-0.29,0.09,0.95,921724,7627,0
191,0.63,0.73,-1.26,64.5,-67.31,4.13,7.09,9.06,2.3,-0.02,-0.29,0.09,0.95,921763,7666,0
192,0.63,0.73,-1.26,64.5,-67.31,4.13,5.56,7.95,1.77,-0.02,-0.29,0.09,0.95,921802,7705,0
193,-0.12,0.57,0.99,64.5,-67.31,4.13,5.56,7.95,1.77,-0.02,-0.29,0.09,0.95,921842,7745,0
194,-0.39,0.93,1.36,64.5,-67.31,4.13,5.56,7.95,1.77,-0.02,-0.29,0.09,0.95,921882,7785,0
195,-0.39,0.93,1.36,64.5,-67.31,4.13,1.54,9.25,0,-0.02,-0.29,0.09,0.95,921921,7824,0
196,-0.39,0.93,1.36,64.5,-67.31,4.13,2.26,9.02,-0.42,-0.02,-0.29,0.09,0.95,921961,7864,0
197,-0.39,0.93,1.36,64.5,-67.31,4.13,4.45,11.05,-1.34,-0.02,-0.29,0.09,0.95,922000,7903,0
198,-0.78,1.6,0.92,64.5,-67.31,4.13,4.45,11.05,-1.34,-0.02,-0.29,0.09,0.95,922041,7944,0
199,-0.83,1.63,1.24,64.5,-67.31,4.13,4.45,11.05,-1.34,-0.02,-0.29,0.09,0.95,922082,7985,0
200,-0.83,1.63,1.24,64.5,-67.31,4.13,3.72,11.55,-1.34,-0.02,-0.29,0.09,0.95,922122,8025,0
201,-0.83,1.63,1.24,64.5,-67.31,4.13,3.83,11.47,0.08,-0.02,-0.29,0.09,0.95,922162,8065,0
202,-0.83,1.63,1.24,64.5,-67.31,4.13,6.21,15.04,-0.54,-0.02,-0.29,0.09,0.95,922201,8104,0
