,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direc1ion,Sensor 1ime,1ime,Label
0,0.03,-0.01,-0.01,-6.5,-37.88,18.13,-8.89,0.74,4.01,0.3,0.43,-0.44,0.73,296252,0,0
1,0.03,-0.01,-0.01,-6.5,-37.88,18.13,-8.89,0.74,4.01,0.3,0.43,-0.44,0.73,296291,39,0
2,0.02,-0.01,-0.01,-6.5,-37.88,18.13,-8.89,0.74,4.01,0.3,0.43,-0.44,0.73,296332,80,0
3,0.02,-0.01,-0.01,-6.5,-37.88,18.13,-8.89,0.74,4.01,0.3,0.43,-0.44,0.73,296373,121,0
4,0.04,-0.01,-0.03,-6.5,-37.88,18.13,-8.89,0.74,4.01,0.3,0.43,-0.44,0.73,296414,162,0
5,0.04,-0.01,-0.03,-6.5,-37.88,18.13,-8.96,0.7,3.94,0.3,0.43,-0.44,0.73,296454,202,0
6,0.04,-0.01,-0.03,-6.5,-37.88,18.13,-8.96,0.74,3.98,0.3,0.43,-0.44,0.73,296493,241,0
7,0.03,-0.07,0.04,-6.5,-37.88,18.13,-8.96,0.74,3.98,0.3,0.43,-0.44,0.73,296534,282,0
8,0,-0.07,0.05,-6.5,-37.88,18.13,-8.96,0.74,3.98,0.3,0.43,-0.44,0.73,296573,321,0
9,0,-0.07,0.05,-6.5,-37.88,18.13,-8.85,0.82,4.13,0.3,0.43,-0.44,0.73,296613,361,0
10,0,-0.07,0.05,-6.5,-37.88,18.13,-8.81,0.86,4.17,0.3,0.43,-0.44,0.73,296654,402,0
11,0,-0.07,0.05,-6.5,-37.88,18.13,-8.89,0.82,4.09,0.3,0.43,-0.44,0.73,296693,441,0
12,0,-0.07,0.05,-6.56,-36.31,19.31,-8.89,0.82,4.09,0.3,0.43,-0.44,0.73,296732,480,0
13,0,0.01,-0.02,-6.56,-36.31,19.31,-8.89,0.82,4.09,0.3,0.43,-0.44,0.73,296772,520,0
14,0,0.01,-0.02,-6.56,-36.31,19.31,-8.89,0.78,4.09,0.3,0.43,-0.44,0.73,296812,560,0
15,0,0.01,-0.02,-6.56,-36.31,19.31,-8.89,0.78,4.05,0.3,0.43,-0.44,0.73,296853,601,0
16,0,0.01,-0.02,-6.56,-36.31,19.31,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,296892,640,0
17,0,0,0.01,-6.56,-36.31,19.31,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,296933,681,0
18,0,-0.01,0.01,-6.56,-36.31,19.31,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,296973,721,0
19,-0.01,-0.01,0.01,-6.56,-36.31,19.31,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,297013,761,0
20,-0.01,-0.01,0.01,-6.56,-36.31,19.31,-8.89,0.82,4.05,0.3,0.43,-0.44,0.73,297054,802,0
21,-0.01,-0.01,0.01,-6.56,-36.31,19.31,-8.89,0.82,4.05,0.3,0.43,-0.44,0.73,297093,841,0
22,0,0.01,-0.02,-6.56,-36.31,19.31,-8.89,0.82,4.05,0.3,0.43,-0.44,0.73,297133,881,0
23,0,0.01,-0.01,-6.56,-36.31,19.31,-8.89,0.82,4.05,0.3,0.43,-0.44,0.73,297172,920,0
24,0,0.01,-0.01,-6.56,-36.31,19.31,-8.89,0.78,4.05,0.3,0.43,-0.44,0.73,297213,961,0
25,0,0.01,-0.01,-6.56,-36.31,19.31,-8.89,0.78,4.05,0.3,0.43,-0.44,0.73,297253,1001,0
26,0,0.01,-0.01,-6.56,-36.31,19.31,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,297292,1040,0
27,0,0.01,-0.01,-5.5,-36.06,16.56,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,297331,1079,0
28,0,0.01,-0.01,-5.5,-36.06,16.56,-8.93,0.74,3.98,0.3,0.43,-0.44,0.73,297372,1120,0
29,0.02,-0.04,0.02,-5.5,-36.06,16.56,-8.93,0.74,3.98,0.3,0.43,-0.44,0.73,297412,1160,0
30,0.02,-0.04,0.02,-5.5,-36.06,16.56,-8.93,0.82,4.01,0.3,0.43,-0.44,0.73,297451,1199,0
31,0.02,-0.04,0.02,-5.5,-36.06,16.56,-8.93,0.82,4.05,0.3,0.43,-0.44,0.73,297490,1238,0
32,0.03,-0.05,-0.01,-5.5,-36.06,16.56,-8.93,0.82,4.05,0.3,0.43,-0.44,0.73,297531,1279,0
33,0.02,-0.02,-0.03,-5.5,-36.06,16.56,-8.93,0.82,4.05,0.3,0.43,-0.44,0.73,297571,1319,0
34,0.02,-0.02,-0.03,-5.5,-36.06,16.56,-8.89,0.78,4.09,0.3,0.43,-0.44,0.73,297612,1360,0
35,0.02,-0.02,-0.03,-5.5,-36.06,16.56,-8.89,0.78,4.09,0.3,0.43,-0.44,0.73,297652,1400,0
