,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,-0.00,0.00,0.00,-0.75,3.56,-4.13,-9.16,2.17,2.45,0.61,-0.05,-0.78,0.11,537702
1,-0.00,0.00,0.00,-0.75,3.56,-4.13,-9.16,2.17,2.41,0.61,-0.05,-0.78,0.11,537740
2,-0.00,-0.00,0.01,-0.75,3.56,-4.13,-9.16,2.17,2.41,0.61,-0.05,-0.78,0.11,537780
3,-0.00,-0.00,0.01,-0.75,3.56,-4.13,-9.16,2.17,2.41,0.61,-0.05,-0.78,0.11,537821
4,-0.01,-0.01,0.01,-0.75,3.56,-4.13,-9.16,2.17,2.41,0.61,-0.05,-0.78,0.11,537861
5,-0.01,-0.01,0.01,-0.75,3.56,-4.13,-9.16,2.17,2.45,0.61,-0.05,-0.78,0.11,537901
6,-0.01,-0.01,0.01,-0.75,3.56,-4.13,-9.16,2.17,2.41,0.61,-0.05,-0.78,0.11,537938
7,0.00,0.00,0.00,-0.75,3.56,-4.13,-9.16,2.17,2.41,0.61,-0.05,-0.78,0.11,537979
8,-0.01,-0.00,0.00,-0.75,3.56,-4.13,-9.16,2.17,2.41,0.61,-0.05,-0.78,0.11,538018
9,-0.01,-0.00,0.00,-0.75,3.56,-4.13,-9.12,2.17,2.45,0.61,-0.05,-0.78,0.11,538058
10,-0.01,-0.00,0.00,-0.75,3.56,-4.13,-9.16,2.21,2.41,0.61,-0.05,-0.78,0.11,538099
11,-0.01,-0.00,0.00,-0.75,3.56,-4.13,-9.12,2.21,2.45,0.61,-0.05,-0.78,0.11,538138
12,-0.00,0.00,-0.00,-0.75,3.56,-4.13,-9.12,2.21,2.45,0.61,-0.05,-0.78,0.11,538178
13,-0.00,0.00,-0.00,-0.75,3.56,-4.13,-9.16,2.21,2.45,0.61,-0.05,-0.78,0.11,538219
14,0.00,0.00,0.00,-0.75,3.56,-4.13,-9.16,2.21,2.45,0.61,-0.05,-0.78,0.11,538259
15,0.00,0.00,0.00,-0.75,3.56,-4.13,-9.12,2.21,2.41,0.61,-0.05,-0.78,0.11,538299
16,0.00,0.00,0.00,-0.75,3.56,-4.13,-9.16,2.17,2.41,0.61,-0.05,-0.78,0.11,538336
