,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,-0.00,0.00,-0.00,7.00,11.38,1.88,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,750645
1,-0.00,0.00,-0.00,7.00,11.38,1.88,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,750684
2,-0.00,0.00,-0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,750722
3,-0.00,0.00,-0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,750763
4,0.00,0.00,0.01,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,750801
5,0.00,0.00,0.01,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,750840
6,0.00,0.00,0.01,6.88,10.44,0.31,-9.27,1.71,2.33,0.61,-0.05,-0.79,0.01,750877
7,0.00,-0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.33,0.61,-0.05,-0.79,0.01,750918
8,0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.33,0.61,-0.05,-0.79,0.01,750957
9,0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,750995
10,0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,751033
11,0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,751071
12,0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,751110
13,0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,751149
14,0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.33,0.61,-0.05,-0.79,0.01,751187
15,0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,751225
16,-0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,751263
17,0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,751302
18,0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,751341
19,0.00,0.00,0.00,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,751378
20,0.00,0.01,-0.01,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,751418
21,-0.00,0.00,-0.03,6.88,10.44,0.31,-9.27,1.71,2.37,0.61,-0.05,-0.79,0.01,751457
22,-0.00,0.00,-0.03,6.88,10.44,0.31,-9.27,1.67,2.33,0.61,-0.05,-0.79,0.01,751497
