,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime
0,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,231433.0
1,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,231471.0
2,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,231510.0
3,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,231549.0
4,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,231588.0
5,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.26,-0.57,0.35,0.67,0.31,231627.0
6,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,231665.0
7,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,231704.0
8,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.55,1.26,-0.57,0.35,0.67,0.31,231744.0
9,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,231782.0
10,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,231820.0
11,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,231859.0
12,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,231900.0
13,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,231939.0
14,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,231979.0
15,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232015.0
16,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232054.0
17,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232093.0
18,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,232132.0
19,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.55,1.26,-0.57,0.35,0.67,0.31,232169.0
20,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.55,1.26,-0.57,0.35,0.67,0.31,232209.0
21,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,232249.0
22,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,232289.0
23,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.26,-0.57,0.35,0.67,0.31,232328.0
24,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232366.0
25,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232404.0
26,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232443.0
27,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,232482.0
28,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.55,1.26,-0.57,0.35,0.67,0.31,232519.0
29,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.55,1.26,-0.57,0.35,0.67,0.31,232560.0
30,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.55,1.26,-0.57,0.35,0.67,0.31,232599.0
31,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232639.0
32,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,232678.0
33,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232716.0
34,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232755.0
35,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232794.0
36,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.26,-0.57,0.35,0.67,0.31,232832.0
37,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232869.0
38,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232909.0
39,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,232948.0
40,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.26,-0.57,0.35,0.67,0.31,232987.0
41,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.55,1.26,-0.57,0.35,0.67,0.31,233027.0
42,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,233065.0
43,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,233103.0
44,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.55,1.26,-0.57,0.35,0.67,0.31,233142.0
45,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,233182.0
46,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,233219.0
47,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,233259.0
48,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,233297.0
49,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,233337.0
50,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.55,1.26,-0.57,0.35,0.67,0.31,233376.0
51,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,233413.0
52,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,233452.0
53,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,233491.0
54,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,233531.0
55,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,233569.0
56,-0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.52,1.3,-0.57,0.35,0.67,0.31,233608.0
57,-0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,233648.0
58,-0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,233689.0
59,-0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,233728.0
60,-0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,233765.0
61,0.0,-0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,233805.0
62,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,233844.0
63,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.26,-0.57,0.35,0.67,0.31,233883.0
64,0.0,0.0,0.0,23.56,15.0,-2.69,-9.46,1.55,1.3,-0.57,0.35,0.67,0.31,233921.0
65,0.0,0.01,-0.0,23.56,15.0,-2.69,-9.46,1.55,1.3,-0.57,0.35,0.67,0.31,233960.0
66,0.0,0.01,-0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,234001.0
67,0.0,0.0,0.0,23.56,15.0,-2.69,-9.5,1.52,1.3,-0.57,0.35,0.67,0.31,234041.0
