,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,-0.01,0.00,0.01,-8.06,7.94,-24.94,-2.45,-5.45,7.77,-0.25,0.20,-0.24,0.92,172932
1,-0.00,0.00,0.01,-8.06,7.94,-24.94,-2.45,-5.45,7.77,-0.25,0.20,-0.24,0.92,172972
2,-0.00,0.00,0.01,-8.06,7.94,-24.94,-2.53,-5.45,7.81,-0.25,0.20,-0.24,0.92,173011
3,0.01,-0.02,0.01,-8.06,7.94,-24.94,-2.53,-5.45,7.81,-0.25,0.20,-0.24,0.92,173052
4,0.01,-0.02,0.01,-8.06,7.94,-24.94,-2.49,-5.45,7.81,-0.25,0.20,-0.24,0.92,173092
5,0.01,-0.02,0.01,-8.00,3.88,-25.19,-2.49,-5.45,7.81,-0.25,0.20,-0.24,0.92,173131
6,0.01,-0.02,0.01,-8.00,3.88,-25.19,-2.45,-5.49,7.62,-0.25,0.20,-0.24,0.92,173172
7,0.00,-0.00,-0.01,-8.00,3.88,-25.19,-2.45,-5.49,7.62,-0.25,0.20,-0.24,0.92,173212
8,0.00,-0.00,-0.01,-8.00,3.88,-25.19,-2.45,-5.49,7.77,-0.25,0.20,-0.24,0.92,173252
9,0.00,-0.00,-0.01,-8.00,3.88,-25.19,-2.57,-5.45,7.73,-0.25,0.20,-0.24,0.92,173293
10,0.00,-0.00,-0.01,-7.69,5.75,-25.13,-2.57,-5.45,7.73,-0.25,0.20,-0.24,0.92,173333
11,-0.01,0.00,-0.01,-7.69,5.75,-25.13,-2.57,-5.45,7.73,-0.25,0.20,-0.24,0.92,173373
12,-0.01,0.00,-0.01,-7.69,5.75,-25.13,-2.49,-5.53,7.66,-0.25,0.20,-0.24,0.92,173414
13,-0.01,0.00,-0.01,-7.69,5.75,-25.13,-2.53,-5.41,7.89,-0.25,0.20,-0.24,0.92,173456
14,-0.01,0.00,-0.01,-7.69,5.75,-25.13,-2.41,-5.53,7.62,-0.25,0.20,-0.24,0.92,173498
15,-0.01,0.00,-0.01,-7.69,5.75,-25.13,-2.49,-5.45,7.85,-0.25,0.20,-0.24,0.92,173537
16,0.01,0.01,-0.00,-7.69,5.75,-25.13,-2.49,-5.45,7.85,-0.25,0.20,-0.24,0.92,173579
17,-0.01,0.01,0.00,-7.69,5.75,-25.13,-2.49,-5.45,7.85,-0.25,0.20,-0.24,0.92,173620
18,-0.01,0.01,0.00,-7.69,5.75,-25.13,-2.53,-5.45,7.66,-0.25,0.20,-0.24,0.92,173660
19,-0.01,0.01,0.00,-7.69,5.75,-25.13,-2.41,-5.49,7.81,-0.25,0.20,-0.24,0.92,173701
