,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.02,0.02,-0.00,11.31,1.56,41.19,9.61,-0.20,0.80,-0.24,-0.63,-0.25,0.69,387594
1,0.02,0.02,-0.00,11.31,1.56,41.19,9.57,-0.20,0.83,-0.24,-0.63,-0.25,0.69,387633
2,0.02,0.02,-0.00,11.31,1.56,41.19,9.61,-0.20,0.80,-0.24,-0.63,-0.25,0.69,387675
3,0.02,0.02,-0.00,11.31,1.56,41.19,9.61,-0.17,0.87,-0.24,-0.63,-0.25,0.69,387715
4,0.02,0.02,-0.00,11.31,1.56,41.19,9.57,-0.20,0.83,-0.24,-0.63,-0.25,0.69,387752
5,-0.00,0.00,-0.00,11.31,1.56,41.19,9.57,-0.20,0.83,-0.24,-0.63,-0.25,0.69,387793
6,0.00,-0.02,0.00,11.31,1.56,41.19,9.57,-0.20,0.83,-0.24,-0.63,-0.25,0.69,387834
7,0.00,-0.02,0.00,11.31,1.56,41.19,9.57,-0.20,0.80,-0.24,-0.63,-0.25,0.69,387874
8,0.00,-0.02,0.00,11.31,1.56,41.19,9.61,-0.20,0.80,-0.24,-0.63,-0.25,0.69,387914
9,0.00,-0.02,0.00,11.31,1.56,41.19,9.57,-0.20,0.80,-0.24,-0.63,-0.25,0.69,387953
10,0.00,0.01,0.00,11.31,1.56,41.19,9.57,-0.20,0.80,-0.24,-0.63,-0.25,0.69,387993
11,0.00,0.01,-0.00,11.31,1.56,41.19,9.57,-0.20,0.80,-0.24,-0.63,-0.25,0.69,388033
12,0.00,0.01,-0.00,11.31,1.56,41.19,9.57,-0.17,0.83,-0.24,-0.63,-0.25,0.69,388074
13,0.00,0.01,-0.00,11.31,1.56,41.19,9.57,-0.20,0.83,-0.24,-0.63,-0.25,0.69,388114
14,0.00,0.01,-0.00,11.31,1.56,41.19,9.57,-0.20,0.80,-0.24,-0.63,-0.25,0.69,388153
15,0.01,0.02,-0.00,11.31,1.56,41.19,9.57,-0.20,0.80,-0.24,-0.63,-0.25,0.69,388193
16,0.01,0.02,-0.00,11.31,1.56,41.19,9.61,-0.20,0.83,-0.24,-0.63,-0.25,0.69,388234
17,0.00,0.00,0.00,11.31,1.56,41.19,9.61,-0.20,0.83,-0.24,-0.63,-0.25,0.69,388274
18,0.00,0.00,0.00,11.31,1.56,41.19,9.61,-0.20,0.80,-0.24,-0.63,-0.25,0.69,388314
19,0.00,0.00,0.00,11.31,1.56,41.19,9.57,-0.20,0.80,-0.24,-0.63,-0.25,0.69,388352
20,-0.00,-0.01,0.01,11.31,1.56,41.19,9.57,-0.20,0.80,-0.24,-0.63,-0.25,0.69,388392
21,-0.02,0.01,0.00,11.31,1.56,41.19,9.57,-0.20,0.80,-0.24,-0.63,-0.25,0.69,388433
22,-0.02,0.01,0.00,11.31,1.56,41.19,9.57,-0.17,0.80,-0.24,-0.63,-0.25,0.69,388472
23,-0.02,0.01,0.00,11.31,1.56,41.19,9.61,-0.20,0.80,-0.24,-0.63,-0.25,0.69,388514
24,-0.02,0.01,0.00,11.31,1.56,41.19,9.57,-0.20,0.76,-0.24,-0.63,-0.25,0.69,388552
25,-0.01,0.02,-0.00,11.31,1.56,41.19,9.57,-0.20,0.76,-0.24,-0.63,-0.25,0.69,388593
26,0.02,-0.03,0.00,11.31,1.56,41.19,9.57,-0.20,0.76,-0.24,-0.63,-0.25,0.69,388633
27,0.02,-0.03,0.00,11.31,1.56,41.19,9.61,-0.20,0.80,-0.24,-0.63,-0.25,0.69,388673
28,0.02,-0.03,0.00,11.31,1.56,41.19,9.61,-0.17,0.80,-0.24,-0.63,-0.25,0.69,388713
