,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,1.36,-0.44,-4.23,-0.56,10.25,11.13,8.00,-1.28,3.13,0.06,-0.64,0.16,0.75,583174
1,-0.03,0.07,-3.96,-0.56,10.25,11.13,8.00,-1.28,3.13,0.06,-0.64,0.16,0.75,583214
2,-0.03,0.07,-3.96,-0.56,10.25,11.13,14.36,3.01,1.52,0.06,-0.64,0.16,0.75,583255
3,-0.03,0.07,-3.96,-0.56,10.25,11.13,13.17,5.39,7.34,0.06,-0.64,0.16,0.75,583293
4,-0.03,0.07,-3.96,-0.56,10.25,11.13,16.81,5.08,6.70,0.06,-0.64,0.16,0.75,583332
5,-0.43,0.07,-0.71,-0.56,10.25,11.13,16.81,5.08,6.70,0.06,-0.64,0.16,0.75,583373
6,-0.43,0.07,-0.71,-0.56,10.25,11.13,15.81,6.08,6.04,0.06,-0.64,0.16,0.75,583413
7,-2.39,0.95,2.09,-0.56,10.25,11.13,15.81,6.08,6.04,0.06,-0.64,0.16,0.75,583452
8,-2.39,0.95,2.09,-0.56,10.25,11.13,13.36,4.51,3.44,0.06,-0.64,0.16,0.75,583492
9,-2.39,0.95,2.09,-0.56,10.25,11.13,10.87,3.78,3.71,0.06,-0.64,0.16,0.75,583530
10,-2.82,0.04,4.58,-0.56,10.25,11.13,10.87,3.78,3.71,0.06,-0.64,0.16,0.75,583572
11,-2.12,-0.38,5.25,-0.56,10.25,11.13,10.87,3.78,3.71,0.06,-0.64,0.16,0.75,583611
12,-2.12,-0.38,5.25,-0.56,10.25,11.13,3.79,-0.93,1.98,0.06,-0.64,0.16,0.75,583651
13,-2.12,-0.38,5.25,-0.56,10.25,11.13,3.09,-2.73,1.18,0.06,-0.64,0.16,0.75,583691
14,-2.12,-0.38,5.25,-0.56,10.25,11.13,2.64,-4.00,-0.16,0.06,-0.64,0.16,0.75,583730
15,-0.72,-0.07,3.31,-0.56,10.25,11.13,2.64,-4.00,-0.16,0.06,-0.64,0.16,0.75,583771
16,-0.33,0.91,3.92,-0.56,10.25,11.13,2.64,-4.00,-0.16,0.06,-0.64,0.16,0.75,583812
17,-0.33,0.91,3.92,-0.56,10.25,11.13,1.14,-6.33,0.49,0.06,-0.64,0.16,0.75,583852
18,-0.33,0.91,3.92,-0.56,10.25,11.13,-5.91,-3.88,-2.16,0.06,-0.64,0.16,0.75,583891
19,-0.33,0.91,3.92,-0.56,10.25,11.13,-11.46,-3.16,-1.73,0.06,-0.64,0.16,0.75,583930
20,-0.09,0.63,2.98,-0.56,10.25,11.13,-11.46,-3.16,-1.73,0.06,-0.64,0.16,0.75,583972
21,-0.09,0.63,2.98,-0.56,10.25,11.13,-17.17,-2.66,-1.93,0.06,-0.64,0.16,0.75,584014
22,1.48,-0.91,-3.56,-0.56,10.25,11.13,-17.17,-2.66,-1.93,0.06,-0.64,0.16,0.75,584055
23,1.48,-0.91,-3.56,-0.56,10.25,11.13,-6.71,-4.04,-1.20,0.06,-0.64,0.16,0.75,584096
24,1.48,-0.91,-3.56,-0.56,10.25,11.13,-3.65,-4.92,1.56,0.06,-0.64,0.16,0.75,584137
25,1.48,-0.91,-3.56,4.88,-5.44,19.00,-3.65,-4.92,1.56,0.06,-0.64,0.16,0.75,584176
26,0.71,-1.82,-4.20,4.88,-5.44,19.00,-3.65,-4.92,1.56,0.06,-0.64,0.16,0.75,584215
27,0.71,-1.82,-4.20,4.88,-5.44,19.00,3.32,-5.57,2.52,0.06,-0.64,0.16,0.75,584255
28,0.71,-1.82,-4.20,4.88,-5.44,19.00,5.24,-4.99,0.99,0.06,-0.64,0.16,0.75,584295
29,0.71,-1.82,-4.20,4.88,-5.44,19.00,10.14,-4.34,3.40,0.06,-0.64,0.16,0.75,584333
30,0.44,-1.07,-3.34,4.88,-5.44,19.00,10.14,-4.34,3.40,0.06,-0.64,0.16,0.75,584373
31,0.44,-1.07,-3.34,4.88,-5.44,19.00,9.99,-2.31,3.52,0.06,-0.64,0.16,0.75,584415
32,1.44,0.53,-3.06,4.88,-5.44,19.00,9.99,-2.31,3.52,0.06,-0.64,0.16,0.75,584453
33,1.44,0.53,-3.06,4.88,-5.44,19.00,11.83,0.06,3.71,0.06,-0.64,0.16,0.75,584493
34,1.44,0.53,-3.06,4.88,-5.44,19.00,9.07,1.86,4.82,0.06,-0.64,0.16,0.75,584529
35,1.25,0.74,-3.37,4.88,-5.44,19.00,9.07,1.86,4.82,0.06,-0.64,0.16,0.75,584570
36,1.63,0.03,-1.89,4.88,-5.44,19.00,9.07,1.86,4.82,0.06,-0.64,0.16,0.75,584609
37,1.63,0.03,-1.89,4.88,-5.44,19.00,15.58,3.89,6.31,0.06,-0.64,0.16,0.75,584647
38,1.63,0.03,-1.89,4.88,-5.44,19.00,14.59,4.13,6.85,0.06,-0.64,0.16,0.75,584686
39,1.63,0.03,-1.89,4.88,-5.44,19.00,13.25,4.09,6.58,0.06,-0.64,0.16,0.75,584724
40,1.63,0.03,-1.89,4.88,-5.44,19.00,12.36,3.78,4.89,0.06,-0.64,0.16,0.75,584764
41,-1.72,0.76,2.39,4.88,-5.44,19.00,12.36,3.78,4.89,0.06,-0.64,0.16,0.75,584804
42,-1.72,0.76,2.39,4.88,-5.44,19.00,9.30,1.48,3.02,0.06,-0.64,0.16,0.75,584843
43,-1.72,0.76,2.39,4.88,-5.44,19.00,8.30,0.21,3.25,0.06,-0.64,0.16,0.75,584881
44,-1.49,0.49,2.73,4.88,-5.44,19.00,8.30,0.21,3.25,0.06,-0.64,0.16,0.75,584920
45,-1.26,0.33,3.28,4.88,-5.44,19.00,8.30,0.21,3.25,0.06,-0.64,0.16,0.75,584958
46,-1.26,0.33,3.28,4.88,-5.44,19.00,7.12,-3.42,3.32,0.06,-0.64,0.16,0.75,584996
47,-1.26,0.33,3.28,4.88,-5.44,19.00,7.04,-4.19,2.40,0.06,-0.64,0.16,0.75,585034
48,-1.26,0.33,3.28,3.31,-1.50,14.75,7.04,-4.19,2.40,0.06,-0.64,0.16,0.75,585073
49,-1.03,0.14,4.15,3.31,-1.50,14.75,7.04,-4.19,2.40,0.06,-0.64,0.16,0.75,585112
50,-1.03,0.14,4.15,3.31,-1.50,14.75,0.64,-5.91,1.68,0.06,-0.64,0.16,0.75,585151
51,-1.03,0.14,4.15,3.31,-1.50,14.75,-2.00,-5.64,1.21,0.06,-0.64,0.16,0.75,585190
52,-1.03,0.14,4.15,3.31,-1.50,14.75,-4.34,-6.18,0.76,0.06,-0.64,0.16,0.75,585229
53,-0.66,0.79,1.92,3.31,-1.50,14.75,-4.34,-6.18,0.76,0.06,-0.64,0.16,0.75,585268
54,0.04,-0.18,1.46,3.31,-1.50,14.75,-4.34,-6.18,0.76,0.06,-0.64,0.16,0.75,585307
55,0.04,-0.18,1.46,3.31,-1.50,14.75,-7.71,-7.29,1.10,0.06,-0.64,0.16,0.75,585347
56,0.04,-0.18,1.46,3.31,-1.50,14.75,-9.20,-6.87,0.18,0.06,-0.64,0.16,0.75,585385
57,0.04,-0.18,1.46,5.56,-9.00,18.69,-9.20,-6.87,0.18,0.06,-0.64,0.16,0.75,585423
58,0.15,-1.02,-3.54,5.56,-9.00,18.69,-9.20,-6.87,0.18,0.06,-0.64,0.16,0.75,585463
59,0.15,-1.02,-3.54,5.56,-9.00,18.69,-2.54,-4.80,-1.12,0.06,-0.64,0.16,0.75,585503
60,0.15,-1.02,-3.54,5.56,-9.00,18.69,1.26,-4.95,0.64,0.06,-0.64,0.16,0.75,585544
61,0.15,-1.02,-3.54,5.56,-9.00,18.69,5.70,-4.19,1.64,0.06,-0.64,0.16,0.75,585582
62,1.18,-1.41,-4.19,5.56,-9.00,18.69,5.70,-4.19,1.64,0.06,-0.64,0.16,0.75,585622
63,1.18,-1.41,-4.19,5.56,-9.00,18.69,6.46,-2.16,2.33,0.06,-0.64,0.16,0.75,585662
64,1.18,-1.41,-4.19,5.56,-9.00,18.69,10.57,-2.04,2.40,0.06,-0.64,0.16,0.75,585703
65,1.18,-1.41,-4.19,5.56,-9.00,18.69,11.79,0.21,0.07,0.06,-0.64,0.16,0.75,585743
66,1.18,-1.41,-4.19,5.56,-9.00,18.69,12.79,1.48,3.25,0.06,-0.64,0.16,0.75,585781
67,0.50,0.09,-4.13,5.56,-9.00,18.69,12.79,1.48,3.25,0.06,-0.64,0.16,0.75,585822
68,3.18,-0.95,-1.44,5.56,-9.00,18.69,12.79,1.48,3.25,0.06,-0.64,0.16,0.75,585862
69,3.18,-0.95,-1.44,5.56,-9.00,18.69,16.58,4.93,9.95,0.06,-0.64,0.16,0.75,585902
70,3.18,-0.95,-1.44,5.56,-9.00,18.69,14.28,5.31,5.28,0.06,-0.64,0.16,0.75,585942
71,3.18,-0.95,-1.44,5.56,-9.00,18.69,13.21,4.55,4.32,0.06,-0.64,0.16,0.75,585979
72,-1.01,0.87,2.50,5.56,-9.00,18.69,13.21,4.55,4.32,0.06,-0.64,0.16,0.75,586019
73,-1.36,1.11,3.05,5.56,-9.00,18.69,13.21,4.55,4.32,0.06,-0.64,0.16,0.75,586058
74,-1.36,1.11,3.05,5.56,-9.00,18.69,8.46,1.14,2.56,0.06,-0.64,0.16,0.75,586097
75,-1.36,1.11,3.05,5.56,-9.00,18.69,8.46,-0.13,0.53,0.06,-0.64,0.16,0.75,586137
76,-1.36,1.11,3.05,5.56,-9.00,18.69,3.36,-1.89,2.33,0.06,-0.64,0.16,0.75,586174
77,-2.00,-0.41,3.28,5.56,-9.00,18.69,3.36,-1.89,2.33,0.06,-0.64,0.16,0.75,586213
78,-2.00,-0.41,3.28,5.56,-9.00,18.69,2.67,-5.45,-0.74,0.06,-0.64,0.16,0.75,586252
79,-2.00,-0.41,3.28,5.56,-9.00,18.69,3.36,-6.18,0.22,0.06,-0.64,0.16,0.75,586293
80,-2.00,-0.41,3.28,5.56,-9.00,18.69,1.71,-7.06,1.56,0.06,-0.64,0.16,0.75,586331
81,0.51,0.68,1.14,5.56,-9.00,18.69,1.71,-7.06,1.56,0.06,-0.64,0.16,0.75,586371
82,-0.29,-0.30,1.39,5.56,-9.00,18.69,1.71,-7.06,1.56,0.06,-0.64,0.16,0.75,586409
83,-0.29,-0.30,1.39,5.56,-9.00,18.69,-1.81,-8.55,2.29,0.06,-0.64,0.16,0.75,586449
84,-0.29,-0.30,1.39,5.56,-9.00,18.69,-4.80,-6.98,-0.28,0.06,-0.64,0.16,0.75,586490
85,-0.29,-0.30,1.39,5.56,-9.00,18.69,-3.38,-7.60,1.71,0.06,-0.64,0.16,0.75,586529
86,0.92,-0.94,-2.08,5.56,-9.00,18.69,-3.38,-7.60,1.71,0.06,-0.64,0.16,0.75,586569
87,0.92,-0.94,-2.08,5.56,-9.00,18.69,0.26,-6.33,3.67,0.06,-0.64,0.16,0.75,586611
88,0.80,-0.52,-5.02,5.56,-9.00,18.69,0.26,-6.33,3.67,0.06,-0.64,0.16,0.75,586649
89,0.80,-0.52,-5.02,5.56,-9.00,18.69,9.99,-2.77,1.52,0.06,-0.64,0.16,0.75,586689
90,0.80,-0.52,-5.02,5.56,-9.00,18.69,11.79,-3.42,5.13,0.06,-0.64,0.16,0.75,586728
91,-0.29,0.23,-2.67,5.56,-9.00,18.69,11.79,-3.42,5.13,0.06,-0.64,0.16,0.75,586768
92,1.55,-3.06,-1.38,5.56,-9.00,18.69,11.79,-3.42,5.13,0.06,-0.64,0.16,0.75,586808
93,1.55,-3.06,-1.38,5.56,-9.00,18.69,18.53,-2.93,10.79,0.06,-0.64,0.16,0.75,586847
94,1.55,-3.06,-1.38,5.56,-9.00,18.69,9.41,-0.93,3.44,0.06,-0.64,0.16,0.75,586888
95,1.55,-3.06,-1.38,5.56,-9.00,18.69,8.54,-0.17,-0.78,0.06,-0.64,0.16,0.75,586926
96,-0.55,-0.17,-0.67,5.56,-9.00,18.69,8.54,-0.17,-0.78,0.06,-0.64,0.16,0.75,586966
97,-0.55,-0.17,-0.67,5.56,-9.00,18.69,15.96,-0.36,3.17,0.06,-0.64,0.16,0.75,587005
98,-0.55,-0.17,-0.67,5.56,-9.00,18.69,11.37,1.52,5.05,0.06,-0.64,0.16,0.75,587046
99,-0.55,-0.17,-0.67,5.56,-9.00,18.69,11.68,-0.24,2.63,0.06,-0.64,0.16,0.75,587085
100,-0.55,-0.17,-0.67,1.75,3.19,13.94,11.68,-0.24,2.63,0.06,-0.64,0.16,0.75,587124
101,-1.43,1.27,3.89,1.75,3.19,13.94,11.68,-0.24,2.63,0.06,-0.64,0.16,0.75,587164
102,-1.43,1.27,3.89,1.75,3.19,13.94,1.87,-2.08,0.07,0.06,-0.64,0.16,0.75,587204
103,-1.43,1.27,3.89,1.75,3.19,13.94,-0.89,-5.95,4.20,0.06,-0.64,0.16,0.75,587243
104,-1.43,1.27,3.89,1.75,3.19,13.94,0.76,-6.83,-0.05,0.06,-0.64,0.16,0.75,587280
105,0.31,-0.26,2.54,1.75,3.19,13.94,0.76,-6.83,-0.05,0.06,-0.64,0.16,0.75,587320
106,0.31,-0.26,2.54,1.75,3.19,13.94,-5.22,-6.56,4.32,0.06,-0.64,0.16,0.75,587360
107,-0.03,-0.82,-0.56,1.75,3.19,13.94,-5.22,-6.56,4.32,0.06,-0.64,0.16,0.75,587400
108,-0.03,-0.82,-0.56,1.75,3.19,13.94,-6.02,-6.22,-1.23,0.06,-0.64,0.16,0.75,587440
109,-0.03,-0.82,-0.56,1.75,3.19,13.94,-4.22,-6.33,3.44,0.06,-0.64,0.16,0.75,587479
110,0.11,-1.62,-2.86,1.75,3.19,13.94,-4.22,-6.33,3.44,0.06,-0.64,0.16,0.75,587520
111,0.85,-0.55,-3.75,1.75,3.19,13.94,-4.22,-6.33,3.44,0.06,-0.64,0.16,0.75,587559
112,0.85,-0.55,-3.75,1.75,3.19,13.94,6.23,-4.99,3.36,0.06,-0.64,0.16,0.75,587598
113,0.85,-0.55,-3.75,1.75,3.19,13.94,12.67,-4.23,2.25,0.06,-0.64,0.16,0.75,587639
114,0.85,-0.55,-3.75,1.75,3.19,13.94,12.59,-4.50,8.27,0.06,-0.64,0.16,0.75,587677
115,-0.39,1.26,-1.61,1.75,3.19,13.94,12.59,-4.50,8.27,0.06,-0.64,0.16,0.75,587717
116,-0.39,1.26,-1.61,1.75,3.19,13.94,13.78,-3.12,2.86,0.06,-0.64,0.16,0.75,587756
117,-0.39,1.26,-1.61,1.75,3.19,13.94,12.90,-2.77,1.91,0.06,-0.64,0.16,0.75,587796
118,-0.39,1.26,-1.61,1.75,3.19,13.94,18.61,-1.55,2.29,0.06,-0.64,0.16,0.75,587835
119,-0.39,1.26,-1.61,8.94,3.13,11.50,18.61,-1.55,2.29,0.06,-0.64,0.16,0.75,587873
120,-0.46,1.11,1.99,8.94,3.13,11.50,18.61,-1.55,2.29,0.06,-0.64,0.16,0.75,587912
121,-0.46,1.11,1.99,8.94,3.13,11.50,12.29,-1.24,2.82,0.06,-0.64,0.16,0.75,587952
122,-0.46,1.11,1.99,8.94,3.13,11.50,7.73,-1.13,2.29,0.06,-0.64,0.16,0.75,587992
123,-0.46,1.11,1.99,8.94,3.13,11.50,7.73,-2.46,1.60,0.06,-0.64,0.16,0.75,588028
124,0.03,0.83,2.79,8.94,3.13,11.50,7.73,-2.46,1.60,0.06,-0.64,0.16,0.75,588068
125,0.03,0.83,2.79,8.94,3.13,11.50,5.74,-2.66,4.55,0.06,-0.64,0.16,0.75,588107
126,-1.57,0.80,4.21,8.94,3.13,11.50,5.74,-2.66,4.55,0.06,-0.64,0.16,0.75,588145
127,-1.57,0.80,4.21,8.94,3.13,11.50,-1.08,-3.57,1.10,0.06,-0.64,0.16,0.75,588184
128,-1.57,0.80,4.21,3.38,-3.94,15.94,-1.08,-3.57,1.10,0.06,-0.64,0.16,0.75,588222
129,-1.57,0.80,4.21,3.38,-3.94,15.94,-7.44,-4.38,-0.66,0.06,-0.64,0.16,0.75,588261
130,-1.57,0.80,4.21,3.38,-3.94,15.94,-7.82,-5.26,1.56,0.06,-0.64,0.16,0.75,588302
131,-1.57,0.80,4.21,3.38,-3.94,15.94,-6.52,-6.98,5.85,0.06,-0.64,0.16,0.75,588342
132,-1.57,0.80,4.21,3.38,-3.94,15.94,-9.09,-6.49,3.09,0.06,-0.64,0.16,0.75,588381
133,-0.42,-0.24,0.61,3.38,-3.94,15.94,-9.09,-6.49,3.09,0.06,-0.64,0.16,0.75,588422
134,0.58,-0.39,-2.97,3.38,-3.94,15.94,-9.09,-6.49,3.09,0.06,-0.64,0.16,0.75,588462
135,0.58,-0.39,-2.97,3.38,-3.94,15.94,-4.53,-5.53,2.18,0.06,-0.64,0.16,0.75,588500
136,0.58,-0.39,-2.97,3.38,-3.94,15.94,-4.41,-5.72,3.82,0.06,-0.64,0.16,0.75,588541
137,0.58,-0.39,-2.97,3.38,-3.94,15.94,-1.66,-5.80,2.59,0.06,-0.64,0.16,0.75,588580
138,0.77,-2.12,-3.86,3.38,-3.94,15.94,-1.66,-5.80,2.59,0.06,-0.64,0.16,0.75,588620
139,0.33,-0.92,-3.96,3.38,-3.94,15.94,-1.66,-5.80,2.59,0.06,-0.64,0.16,0.75,588661
140,0.33,-0.92,-3.96,3.38,-3.94,15.94,9.61,-5.11,0.95,0.06,-0.64,0.16,0.75,588700
141,0.33,-0.92,-3.96,3.38,-3.94,15.94,8.80,-4.57,5.36,0.06,-0.64,0.16,0.75,588740
142,0.33,-0.92,-3.96,3.38,-3.94,15.94,11.06,-3.38,2.94,0.06,-0.64,0.16,0.75,588778
